Team Name,Team Abbr.,League,Season,Division,Division Rank,Div. Tiebreaker Winner,Div. Tiebreaker Opp.,Div. Semifinals Wins,Div. Semifinals Losses,Div. Semifinals Opp.,Won Div. Semifinals,Div. Finals Wins,Div. Finals Losses,Div. Finals Opp.,Won Div. Finals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
Pittsburgh Pipers,PTP,ABA,1968,Eastern,1,NA,NA,3,0,Indiana Pacers,Yes,4,1,Minnesota Muskies,Yes,4,3,New Orleans Buccaneers,Yes
Minnesota Muskies,MNM,ABA,1968,Eastern,2,NA,NA,3,2,Kentucky Colonels,Yes,1,4,Pittsburgh Pipers,No,NA,NA,NA,NA
Indiana Pacers,INA,ABA,1968,Eastern,3,NA,NA,0,3,Pittsburgh Pipers,No,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky Colonels,KEN,ABA,1968,Eastern,4,NA,NA,2,3,Minnesota Muskies,No,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey Americans,NJA,ABA,1968,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Orleans Buccaneers,NOB,ABA,1968,Western,1,NA,NA,3,2,Denver Rockets,Yes,4,1,Dallas Chaparrals,Yes,3,4,Pittsburgh Pipers,No
Dallas Chaparrals,DLC,ABA,1968,Western,2,NA,NA,3,0,Houston Mavericks,Yes,1,4,New Orleans Buccaneers,No,NA,NA,NA,NA
Denver Rockets,DNR,ABA,1968,Western,3,NA,NA,2,3,New Orleans Buccaneers,No,NA,NA,NA,NA,NA,NA,NA,NA
Houston Mavericks,HSM,ABA,1968,Western,4,NA,NA,0,3,Dallas Chaparrals,No,NA,NA,NA,NA,NA,NA,NA,NA
Anaheim Amigos,ANA,ABA,1968,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oakland Oaks,OAK,ABA,1968,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,INA,ABA,1969,Eastern,1,NA,NA,4,3,Kentucky Colonels,Yes,4,1,Miami Floridians,Yes,1,4,Oakland Oaks,No
Miami Floridians,MMF,ABA,1969,Eastern,2,NA,NA,4,3,Minnesota Pipers,Yes,1,4,Indiana Pacers,No,NA,NA,NA,NA
Kentucky Colonels,KEN,ABA,1969,Eastern,3,NA,NA,3,4,Indiana Pacers,No,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Pipers,MNP,ABA,1969,Eastern,4,NA,NA,3,4,Miami Floridians,No,NA,NA,NA,NA,NA,NA,NA,NA
New York Nets,NYA,ABA,1969,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oakland Oaks,OAK,ABA,1969,Western,1,NA,NA,4,3,Denver Rockets,Yes,4,0,New Orleans Buccaneers,Yes,4,1,Indiana Pacers,Yes
