Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,V18,OWS,DWS,WS,WS/48,V23,OBPM,DBPM,BPM,VORP,URL,Team,Season
1,Ralph Simpson,25,82,2863,17.3,0.545,0.009,0.293,4.2,10,7.3,21.2,2.6,0.4,16.8,24.7,NA,3.8,3.4,7.2,0.12,NA,1.4,0,1.4,2.4,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
2,Bobby Jones,23,84,2706,19.4,0.626,0.001,0.307,9.6,17.3,13.7,14.4,2.8,3,19,17.2,NA,5.5,4.7,10.2,0.181,NA,3.1,2.6,5.7,5.2,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
3,Mike Green,23,81,2557,18.8,0.574,0.004,0.279,12.4,18.5,15.6,5.3,1.5,3.6,14.2,21.3,NA,4.8,3.9,8.7,0.163,NA,1.3,0,1.3,2.1,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
4,Mack Calvin,27,74,2463,19.2,0.587,0.016,0.532,1.6,7.2,4.6,29.8,2.5,0.2,18.5,23.3,NA,6.5,2.5,9,0.176,NA,2.7,-0.3,2.3,2.7,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
5,Fatty Taylor,28,76,2018,9.9,0.481,0.036,0.294,4.7,6.8,5.8,19.7,3.8,0.4,27.3,17.1,NA,-1.5,2.7,1.2,0.029,NA,-2.6,1.4,-1.1,0.5,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
6,Dave Robisch,25,84,1899,19.4,0.584,0.001,0.444,9.6,18.3,14.1,10.5,1.1,1.3,10.4,20.8,NA,6.1,2.4,8.5,0.214,NA,2.9,-0.2,2.6,2.2,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
7,Byron Beck,30,84,1818,13.6,0.539,0.001,0.13,7.9,12.1,10.1,7.7,1.4,0.4,8.8,18,NA,3.3,1.8,5.1,0.134,NA,-0.3,-0.6,-0.9,0.5,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
8,Jan van Breda Kolff,23,84,1639,11.9,0.56,0.009,0.617,8.3,14.7,11.7,12.6,1.3,1.4,21.9,12.9,NA,1.9,1.9,3.8,0.111,NA,0.2,0.7,0.9,1.2,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
9,Claude Terry,25,70,989,14.3,0.576,0.069,0.253,6.5,8.5,7.6,14.4,1.5,0.1,16.5,18.6,NA,1.6,0.8,2.4,0.117,NA,1.2,-0.8,0.5,0.6,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
10,Pat McFarland,23,70,945,12.2,0.501,0.038,0.156,4.4,8.9,6.8,16.1,2.2,0.3,19.2,22.6,NA,-0.2,1,0.7,0.037,NA,-1.2,-0.8,-2,0,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
11,Don Washington,22,50,438,9.2,0.472,0.011,0.306,10.5,11.1,10.8,8.7,1.2,2.3,19.1,22.3,NA,-0.3,0.5,0.2,0.022,NA,-4.6,-0.8,-5.3,-0.4,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
1,Ralph Simpson,26,84,3121,15.7,0.555,0.02,0.289,4,9.8,7.1,23.9,2.1,0.4,20.9,20.5,NA,3.4,3,6.3,0.097,NA,1.1,-0.4,0.7,2.1,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
2,David Thompson,21,83,3101,21.1,0.578,0.012,0.435,7.7,8.8,8.3,13.4,1.9,1.6,11.8,25.3,NA,9.5,3,12.4,0.193,NA,3.9,-0.2,3.7,4.4,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
3,Dan Issel,27,84,2856,21.8,0.567,0.003,0.354,11.1,19.9,15.8,9.6,1.5,1,10.5,24.7,NA,8.6,3.8,12.5,0.209,NA,3.3,-0.9,2.4,3.2,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
4,Bobby Jones,24,83,2845,18.9,0.609,0,0.351,8.8,17.7,13.6,14.2,2.6,3.2,18.6,16.2,NA,5.4,4.8,10.2,0.172,NA,2.7,2.6,5.3,5.2,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
5,Chuck Williams,29,79,2529,11.4,0.569,0.006,0.35,1.7,6.1,4.1,17.1,2,0.1,19.1,13.8,NA,2.9,1.8,4.7,0.089,NA,-1.1,0.1,-1,0.6,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
6,Byron Beck,31,80,1586,14.9,0.552,0.017,0.18,8.1,13.3,10.9,9.3,1.3,0.6,11.5,18.4,NA,2.9,1.5,4.4,0.133,NA,0.5,-0.7,-0.2,0.7,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
7,Claude Terry,26,79,1349,10.9,0.517,0.11,0.178,3.3,7.5,5.5,13.1,1.3,0.2,15.1,17.4,NA,1,0.8,1.8,0.065,NA,-1.3,-1.1,-2.3,-0.1,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
8,Gus Gerard,22,60,1185,13,0.477,0.013,0.286,8.3,16,12.4,12.9,1.9,2.2,18.5,23.9,NA,-0.5,1.6,1.1,0.044,NA,-2.3,0.1,-2.2,-0.1,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
9,Monte Towe,22,64,576,9.1,0.476,0.235,0.246,1.1,7.8,4.7,27,2.8,0.4,29,18,NA,-0.5,0.6,0.1,0.006,NA,-3.3,-0.2,-3.5,-0.2,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
10,Marvin Webster,23,38,398,18.1,0.535,0.008,0.65,16.5,25.5,21.3,8.8,1,6.4,19.8,17.9,NA,0.5,0.8,1.3,0.155,NA,-0.1,1.7,1.6,0.4,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
11,Jimmy Foster,24,48,352,4.4,0.427,0.055,0.441,5.6,6,5.8,15.8,2.3,0.6,26.7,24.9,NA,-1,0.3,-0.7,-0.096,NA,-7.2,-1.5,-8.6,-0.6,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
12,Roger Brown,25,37,291,9.9,0.517,0.033,0.393,9,15.7,12.6,8.4,1.2,3.7,19.2,11.3,NA,0.2,0.4,0.6,0.097,NA,-2.8,1.5,-1.3,0.1,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
13,Jim Bradley,23,7,107,9.3,0.407,0,0.079,3.9,22.2,13.7,12,2,2.3,11.3,15.3,NA,0,0.2,0.1,0.067,NA,-3.7,1,-2.7,0,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
14,George Irvine,27,3,14,-0.3,0.333,0.167,0,7.5,0,3.5,0,0,0,14.3,18.5,NA,0,0,0,-0.131,NA,-4.6,-0.5,-5.1,0,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
1,Roger Brown,25,76,2974,17.5,0.493,0.042,0.402,NA,NA,9.8,16.7,NA,NA,14.9,22.3,NA,4.4,2.9,7.3,0.118,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1968.html,INA,1967-1968
