Team Name,Team Abbr.,League,Season,Division,Division Rank,Conference,Conference Rank,Made Playoffs,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Conf. Finals Wins,Conf. Finals Losses,Conf. Finals Opp.,Won Conf. Finals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
Greenville Groove,GRE,G League,2002,NA,NA,NA,NA,Yes,NA,NA,NA,NA,2,1,Columbus Riverdragons,Yes,NA,NA,NA,NA,2,0,North Charleston Lowgators,Yes
North Charleston Lowgators,NCH,G League,2002,NA,NA,NA,NA,Yes,NA,NA,NA,NA,2,1,Mobile Revelers,Yes,NA,NA,NA,NA,0,2,Greenville Groove,No
Columbus Riverdragons,CLB,G League,2002,NA,NA,NA,NA,Yes,NA,NA,NA,NA,1,2,Greenville Groove,No,NA,NA,NA,NA,NA,NA,NA,NA
Mobile Revelers,MOB,G League,2002,NA,NA,NA,NA,Yes,NA,NA,NA,NA,1,2,North Charleston Lowgators,No,NA,NA,NA,NA,NA,NA,NA,NA
Asheville Altitude,ASH,G League,2002,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Huntsville Flight,HUN,G League,2002,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fayetteville Patriots,FAY,G League,2002,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roanoke Dazzle,ROA,G League,2002,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fayetteville Patriots,FAY,G League,2003,NA,NA,NA,NA,Yes,NA,NA,NA,NA,2,0,Roanoke Dazzle,Yes,NA,NA,NA,NA,1,2,Mobile Revelers,No
Mobile Revelers,MOB,G League,2003,NA,NA,NA,NA,Yes,NA,NA,NA,NA,2,0,North Charleston Lowgators,Yes,NA,NA,NA,NA,2,1,Fayetteville Patriots,Yes
North Charleston Lowgators,NCH,G League,2003,NA,NA,NA,NA,Yes,NA,NA,NA,NA,0,2,Mobile Revelers,No,NA,NA,NA,NA,NA,NA,NA,NA
Roanoke Dazzle,ROA,G League,2003,NA,NA,NA,NA,Yes,NA,NA,NA,NA,0,2,Fayetteville Patriots,No,NA,NA,NA,NA,NA,NA,NA,NA
Asheville Altitude,ASH,G League,2003,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbus Riverdragons,CLB,G League,2003,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greenville Groove,GRE,G League,2003,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Huntsville Flight,HUN,G League,2003,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asheville Altitude,ASH,G League,2004,NA,NA,NA,NA,Yes,NA,NA,NA,NA,1,0,Fayetteville Patriots,Yes,NA,NA,NA,NA,1,0,Huntsville Flight,Yes
Charleston Lowgators,CHS,G League,2004,NA,NA,NA,NA,Yes,NA,NA,NA,NA,0,1,Huntsville Flight,No,NA,NA,NA,NA,NA,NA,NA,NA
Huntsville Flight,HUN,G League,2004,NA,NA,NA,NA,Yes,NA,NA,NA,NA,1,0,Charleston Lowgators,Yes,NA,NA,NA,NA,0,1,Asheville Altitude,No
Fayetteville Patriots,FAY,G League,2004,NA,NA,NA,NA,Yes,NA,NA,NA,NA,0,1,Asheville Altitude,No,NA,NA,NA,NA,NA,NA,NA,NA
Roanoke Dazzle,ROA,G League,2004,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbus Riverdragons,CLB,G League,2004,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbus Riverdragons,CLB,G League,2005,NA,NA,NA,NA,Yes,NA,NA,NA,NA,1,0,Roanoke Dazzle,Yes,NA,NA,NA,NA,0,1,Asheville Altitude,No
Asheville Altitude,ASH,G League,2005,NA,NA,NA,NA,Yes,NA,NA,NA,NA,1,0,Huntsville Flight,Yes,NA,NA,NA,NA,1,0,Columbus Riverdragons,Yes
Huntsville Flight,HUN,G League,2005,NA,NA,NA,NA,Yes,NA,NA,NA,NA,0,1,Asheville Altitude,No,NA,NA,NA,NA,NA,NA,NA,NA
Roanoke Dazzle,ROA,G League,2005,NA,NA,NA,NA,Yes,NA,NA,NA,NA,0,1,Columbus Riverdragons,No,NA,NA,NA,NA,NA,NA,NA,NA
Fayetteville Patriots,FAY,G League,2005,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida Flame,FLO,G League,2005,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Worth Flyers,FTW,G League,2006,NA,NA,NA,NA,Yes,NA,NA,NA,NA,1,0,Roanoke Dazzle,Yes,NA,NA,NA,NA,0,1,Albuquerque Thunderbirds,No
