Player ID,NBA ID,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Active
1001,NA,Ajani Williams,2002,2002,F,6-10,235,"February 8, 1977","Georgia Tech, Eastern Michigan",No
1002,NA,Andre McCollum,2002,2007,G,6-2,195,"April 16, 1975",NA,No
1003,4351,Ansu Sesay,2002,2002,F,6-9,225,"July 29, 1976",Mississippi,No
1004,NA,Anthony Blakes,2002,2002,G,6-2,188,NA,Wyoming,No
1005,4066,Anthony Johnson,2002,2002,G,6-3,190,"October 2, 1974",College of Charleston,No
1006,NA,Anthony Pelle,2002,2002,C,7-0,260,"December 1, 1972","Villanova, Fresno State",No
1007,NA,Antonio Grant,2002,2002,F,6-6,225,NA,South Carolina,No
1008,NA,Antwain Smith,2002,2002,F,6-8,220,"May 1, 1975",NA,No
1009,NA,Artie Griffin,2002,2002,G,6-4,188,NA,Alabama,No
1010,NA,B.J. McKie,2002,2002,G,6-2,190,"April 7, 1977",South Carolina,No
1011,NA,Bayonne Taty,2002,2002,F,6-10,208,"January 1, 1972",Seton Hall,No
1012,4556,Billy Thomas,2002,2010,G,6-4,208,"December 23, 1975",Kansas,No
1013,NA,Brent Wright,2002,2002,G,6-8,235,"May 6, 1978",Florida,No
1014,NA,Brian Wardle,2002,2002,G,6-5,205,"October 9, 1979",Marquette,No
1015,NA,Bryan Bracey,2002,2004,F,6-7,210,"August 5, 1978",Oregon,No
1016,NA,C.J. Black,2002,2002,F,6-8,252,NA,Tennessee,No
1017,4296,Chris Andersen,2002,2002,F,6-10,230,"July 7, 1978",Blinn College,No
1018,NA,Chris Carrawell,2002,2002,F,6-6,220,"November 25, 1977",Duke,No
1019,NA,Chris Crosby,2002,2002,F,6-8,228,"February 21, 1978",Washington State,No
1020,4056,Chris Garner,2002,2002,G,5-10,156,"February 2, 1975",Memphis,No
1021,4014,Chris Robinson,2002,2002,G,6-5,200,"April 2, 1974",Western Kentucky,No
1022,NA,Clifton Terry,2002,2002,F,6-7,220,"October 17, 1974",NA,No
1023,NA,Curtis Haywood,2002,2002,G,6-4,181,"November 8, 1975",NA,No
1024,NA,Damond Edwards,2002,2002,G,6-4,195,"August 16, 1974",Sacramento State,No
1025,NA,Danny Earl,2002,2002,G,6-3,195,"October 12, 1974",NA,No
1026,NA,Danny Johnson,2002,2002,G,6-3,200,"March 30, 1976","Clemson, College of Charleston",No
1027,NA,Darrell Johns,2002,2004,C,7-1,285,"April 16, 1976",Chicago State,No
1028,NA,David Crouse,2002,2002,C,6-11,211,"October 8, 1974",Southern California,No
1029,NA,DeeAndre Hulett,2002,2002,F,6-8,215,"December 29, 1980",NA,No
1030,NA,Demetrius Porter,2002,2002,G,6-0,180,"March 13, 1978",Fresno State,No
1031,4194,Derek Hood,2002,2003,F,6-8,222,"December 22, 1976",Arkansas,No
1032,NA,Derrick Hines,2002,2002,G,5-11,180,NA,NA,No
1033,NA,Donald Hand,2002,2004,G,5-11,190,"March 14, 1979",Virginia,No
1034,NA,Donald Watts,2002,2002,G,6-4,188,"April 18, 1977",Washington,No
1035,3616,Dwayne Schintzius,2002,2002,C,7-1,260,"October 14, 1968",Florida,No
1036,NA,Ed Daniels,2002,2002,G,6-3,191,NA,NA,No
1037,NA,Edmund Saunders,2002,2002,F,6-9,206,NA,Connecticut,No
1038,NA,Eric Chenowith,2002,2008,C,7-1,270,"March 9, 1979",Kansas,No
1039,NA,Eric Coley,2002,2002,G,6-5,215,"August 26, 1977",Tulsa,No
1040,NA,Eric Harris,2002,2002,G,6-3,200,"July 26, 1976",Minnesota,No
1041,NA,Eugene Edgerson,2002,2003,F,6-6,237,"February 10, 1978",Arizona,No
1042,NA,Fred House,2002,2013,G,6-5,210,NA,Southern Utah,No
1043,NA,Gabe Muoneke,2002,2008,F,6-7,250,"February 7, 1978",Texas,No
1044,NA,Galen Young,2002,2002,G,6-5,209,"October 16, 1975",Charlotte,No
1045,NA,George Reese,2002,2002,F,6-7,233,"May 8, 1977","South Florida, Ohio State",No
1046,NA,Greg Stempin,2002,2003,F,6-8,220,"May 10, 1979",Toledo,No
1047,NA,Greg Stolt,2002,2002,F,6-8,225,NA,Florida,No
1048,NA,Harold Arceneaux,2002,2002,F,6-6,215,"April 1, 1977",Weber State,No
1049,4322,Isaac Fontaine,2002,2004,G,6-4,210,"April 16, 1975",Washington State,No
1050,NA,JaRon Rush,2002,2002,F,6-7,207,"April 12, 1979",UCLA,No
1051,NA,Jamal Kendrick,2002,2002,F,6-8,240,"October 9, 1975",New Mexico State,No
1052,4766,Jamario Moon,2002,2015,F,6-8,205,"June 13, 1980",Meridian Community College,No
1053,NA,Jameel Watkins,2002,2003,F,6-11,255,"August 22, 1977",Georgetown,No
1054,NA,Jason Dixon,2002,2002,C,6-9,242,NA,Liberty,No
1055,4245,Jason Hart,2002,2002,G,6-3,185,"April 29, 1978",Syracuse,No
1056,NA,Jason Heide,2002,2002,C,6-9,256,NA,Oregon State,No
1057,NA,Jason McCutcheon,2002,2002,F,6-7,201,NA,"South Alabama, Nicholls State",No
1058,4208,Jason Miskiri,2002,2005,G,6-2,175,"August 19, 1975",George Mason,No
1059,NA,Jason Skaer,2002,2002,F,6-7,233,NA,"Oklahoma State, Rice",No
