Coach ID,Coach,From,To,Birth Date,College,HOF,Active
101,Dick Fitzgerald,1947,1947,"November 18, 1920",Fordham,No,No
102,Dutch Dehnert,1947,1947,"April 5, 1898",NA,Yes,No
103,Ed Sadowski,1947,1947,"July 11, 1915",Seton Hall,No,No
104,Eddie Gottlieb,1947,1955,"September 15, 1898",Temple,Yes,No
105,Glenn Curtis,1947,1947,"March 4, 1894",Indiana State University,No,No
106,Harold Olsen,1947,1949,"May 12, 1895",Wisconsin,Yes,No
107,John Russell,1947,1948,"May 31, 1902",NA,Yes,No
108,Ken Loeffler,1947,1949,"April 14, 1902",Penn State,Yes,No
109,Lew Hayman,1947,1947,"September 30, 1908",Syracuse,No,No
110,Neil Cohalan,1947,1947,"July 31, 1906",NA,No,No
111,Paul Birch,1947,1954,"January 10, 1910",Duquesne,No,No
112,Philip Sachs,1947,1947,"April 1, 1902",NA,No,No
113,Red Auerbach,1947,1966,"September 20, 1917",George Washington,Yes,No
114,Robert Morris,1947,1947,"November 3, 1902",East Stroudsburg University,No,No
115,Robert Rolfe,1947,1947,"October 17, 1908",Dartmouth College,No,No
116,Roy Clifford,1947,1947,"June 14, 1900",NA,No,No
117,Albert Soar,1948,1948,"August 17, 1914",Providence,No,No
118,Buddy Jeannette,1948,1970,"September 15, 1917",Washington & Jefferson College,Yes,No
119,Joe Lapchick,1948,1956,"April 12, 1900",St. John's,Yes,No
120,Nat Hickey,1948,1948,"January 30, 1902",NA,No,No
121,Alvin Julian,1949,1950,"April 5, 1901",Bucknell,Yes,No
122,Bruce Hale,1949,1968,"August 30, 1918",Santa Clara,No,No
123,Burl Friddle,1949,1949,"May 27, 1900",Franklin College,No,No
124,Carl Bennett,1949,1949,"December 7, 1915",NA,No,No
125,Curly Armstrong,1949,1949,"November 1, 1918",Indiana,No,No
126,Grady Lewis,1949,1950,"March 25, 1917",Oklahoma,No,No
127,John Kundla,1949,1959,"July 3, 1916",Minnesota,Yes,No
128,Les Harrison,1949,1955,"August 20, 1904",NA,Yes,No
129,Philip Brownstein,1949,1950,"May 17, 1906",Illinois,No,No
130,Al Cervi,1950,1959,"February 12, 1917",NA,Yes,No
131,Bob Feerick,1950,1963,"January 2, 1920",Santa Clara,No,No
132,Charley Shipp,1950,1950,"December 3, 1913",Catholic University of America,No,No
133,Cliff Barker,1950,1951,"January 15, 1921",Kentucky,No,No
134,Doxie Moore,1950,1952,"February 13, 1911",Purdue,No,No
135,Howie Schultz,1950,1950,"July 3, 1922",NA,No,No
136,Ike Duffey,1950,1950,"May 31, 1906",NA,No,No
137,Jack Smiley,1950,1950,"December 22, 1922",Illinois,No,No
138,Jimmy Darden,1950,1950,"June 19, 1922",Denver,No,No
139,Ken Suesens,1950,1950,"October 23, 1916",Iowa,No,No
140,Murray Mendenhall,1950,1951,"March 5, 1898",DePauw University,No,No
141,Roger Potter,1950,1950,"October 5, 1907",NA,No,No
142,Bones McKinney,1951,1971,"January 1, 1919",UNC,No,No
