NBL ID,NBA ID,Player,From,To,Pos,Ht,Wt,Birth Date
1001,NA,Ray Adams,1938,1941,Forward-Center,6-2,185,"September 28, 1912"
1002,NA,Willie Adams,1938,1938,Forward,5-11,160,"October 2, 1911"
1003,NA,Clyde Anton,1938,1938,Guard,NA,NA,NA
1004,NA,Gerry Archibald,1938,1939,Guard,6-0,170,"August 22, 1907"
1005,NA,Scotty Armstrong,1938,1942,Forward-Center,6-4,190,"October 12, 1913"
1006,NA,Stan Arnzen,1938,1938,Forward,5-11,170,"August 8, 1914"
1007,NA,Carl Austing,1938,1938,Forward-Center,6-4,180,"April 25, 1910"
1008,NA,Frank Baird,1938,1942,Guard-Forward,5-11,160,"April 10, 1912"
1009,NA,Wes Bennett,1938,1939,Center-Forward,6-3,175,"March 31, 1913"
1010,NA,Bernie Berens,1938,1938,Center,6-5,190,"February 26, 1913"
1011,NA,Don Betourne,1938,1938,Forward,6-1,200,"February 27, 1915"
1012,NA,Chuck Bloedorn,1938,1940,Guard,6-0,180,"May 28, 1912"
1013,NA,Herb Bonn,1938,1939,Forward,6-0,195,"July 14, 1914"
1014,NA,Al Bonniwell,1938,1939,Guard-Forward,6-2,185,"October 6, 1911"
1015,NA,Harold Bower,1938,1938,Guard,5-10,165,"March 25, 1912"
1016,NA,Sam Busich,1938,1938,Guard,6-3,190,"November 17, 1913"
1017,NA,Soup Cable,1938,1942,Forward-Guard,6-3,200,"April 4, 1913"
1018,NA,Ed Campion,1938,1939,Guard,6-2,190,"December 19, 1915"
1019,NA,Danny Carnevale,1938,1938,Guard,6-0,185,"February 8, 1918"
1020,1311,Al Cervi,1938,1949,Guard-Forward,5-11,170,"February 12, 1917"
1021,NA,George Chestnut,1938,1940,Center-Forward,6-5,210,"September 27, 1911"
1022,NA,Bobby Colburn,1938,1938,Forward,5-10,190,"March 23, 1911"
1023,NA,Paul Coleman,1938,1938,Guard,6-2,160,"September 25, 1915"
1024,NA,Bob Cope,1938,1938,Center-Forward,6-4,190,"September 3, 1911"
1025,NA,Leo Crowe,1938,1938,Guard,5-11,170,"April 2, 1912"
1026,NA,Cookie Cunningham,1938,1938,Forward-Center,6-3,210,"February 4, 1905"
1027,NA,Bob DeWeese,1938,1938,Guard,5-11,160,"November 8, 1915"
1028,NA,Duck Dowell,1938,1938,Center-Forward,6-3,200,"August 14, 1912"
1029,NA,Beryl Drummond,1938,1947,Guard,6-1,185,"June 16, 1918"
1030,NA,Leroy Edwards,1938,1949,Center-Forward,6-4,200,"April 11, 1914"
1031,NA,Denny Elliott,1938,1938,Guard,5-9,150,"February 18, 1914"
1032,NA,Byron Evard,1938,1938,Guard,5-8,155,"March 27, 1908"
1033,NA,Fred Fechtman,1938,1938,Center,NA,NA,"August 10, 1910"
1034,NA,Wilson Fitts,1938,1939,Guard-Forward,6-2,165,"June 16, 1915"
1035,NA,Hymie Ginsburg,1938,1939,Guard,5-9,170,"March 23, 1914"
1036,NA,Fred Grafft,1938,1938,Guard,5-9,NA,"February 20, 1912"
1037,NA,Ken Gunning,1938,1946,Forward-Guard,5-11,170,"June 4, 1914"
1038,NA,Bill Haarlow,1938,1938,Forward,6-1,170,"May 5, 1913"
1039,NA,Warren Hair,1938,1938,Guard,NA,NA,"July 18, 1918"
1040,NA,Ray Hamann,1938,1939,Guard-Forward,6-4,205,"August 19, 1911"
1041,NA,Jim Hilgemann,1938,1942,Guard,6-0,170,"December 22, 1916"
1042,NA,Johnny Hoekstra,1938,1938,Center,6-5,225,"November 7, 1917"
1043,NA,Bill Holland,1938,1940,Center-Forward,6-5,210,"April 10, 1914"
1044,NA,Ife Holmes,1938,1938,Guard,5-6,150,"August 15, 1905"
1045,2103,Bill Hosket,1938,1938,Center,6-5,NA,"February 19, 1911"
1046,NA,Herb Hutchinson,1938,1938,Forward-Guard,NA,NA,NA
1047,NA,Stan Jackson,1938,1938,Forward,NA,NA,NA
1048,NA,Stub Jacobson,1938,1938,Center,6-6,NA,NA
1049,NA,Bill Jesko,1938,1939,Guard-Forward,5-10,170,"December 24, 1915"
1050,NA,Mally Johnson,1938,1939,Forward-Guard,5-9,165,"February 4, 1908"
1051,NA,Ken Jordan,1938,1938,Forward,6-2,180,"June 18, 1912"
1052,NA,Bob Kessler,1938,1939,Forward,6-0,165,"November 25, 1914"
1053,NA,Joe Kruse,1938,1938,Guard,6-2,200,"September 9, 1914"
1054,NA,Ed Kweller,1938,1939,Center,6-5,225,"January 27, 1915"
1055,NA,Buck Lamme,1938,1938,Guard,6-2,180,"July 2, 1905"
1056,NA,Tim Lawry,1938,1938,Forward,5-10,155,"August 1, 1911"
1057,NA,Sew Leeka,1938,1938,Guard,6-1,185,"September 15, 1907"
1058,NA,Johnny Lenhart,1938,1938,Forward,6-4,180,"December 4, 1915"
1059,NA,Bud Lindenberg,1938,1938,Guard,6-0,175,"September 13, 1909"
1060,NA,Leroy Lins,1938,1938,Guard,6-1,175,"June 21, 1913"
1061,NA,Frank Linskey,1938,1941,Guard,6-2,180,"August 18, 1913"
1062,NA,Sam Loucks,1938,1938,Center-Forward,6-4,195,"July 9, 1915"
1063,NA,Bob Lytle,1938,1938,Forward,6-4,180,"August 9, 1916"
1064,NA,Red Malackany,1938,1939,Guard,5-9,165,"May 3, 1913"
1065,NA,Eddie Malanowicz,1938,1938,Center,6-3,220,"December 30, 1910"
1066,NA,Frank Maury,1938,1939,Guard,5-5,155,NA
1067,NA,Johnny McAdams,1938,1940,Guard,5-10,147,"April 15, 1912"
1068,NA,Bob McConnell,1938,1938,Guard-Forward,NA,NA,"May 20, 1912"
1069,NA,Vince McGowan,1938,1945,Center-Forward,6-6,208,"August 13, 1913"
1070,NA,Curt McMahon,1938,1938,Guard,6-0,150,"January 26, 1915"
1071,NA,Dean Mealy,1938,1940,Center,6-4,195,"May 7, 1915"
1072,NA,Gene Mechling,1938,1938,Guard,6-1,215,"March 24, 1909"
1073,NA,Don Meyer,1938,1938,Forward-Center,6-7,NA,"April 22, 1910"
1074,NA,LaVern Meyer,1938,1938,Guard,6-0,NA,"June 17, 1916"
1075,NA,Miller,1938,1938,Forward,NA,NA,NA
1076,1100,Walt Miller,1938,1946,Forward,6-2,190,"July 30, 1915"
1077,NA,Bud Moodler,1938,1940,Guard,6-3,215,"September 21, 1912"
1078,NA,Dudey Moore,1938,1939,Guard,5-9,180,"April 5, 1910"
1079,NA,Emmett Morrison,1938,1938,Forward-Guard,6-3,180,"August 24, 1915"
1080,NA,Ray Morstadt,1938,1940,Forward-Center,6-2,220,"March 10, 1913"
1081,NA,Ed Mullen,1938,1940,Guard,6-3,185,"March 9, 1913"
1082,NA,Neil O'Donnell,1938,1938,Forward-Center,6-5,210,"April 17, 1914"
1083,NA,Jim O'Donnell,1938,1938,Forward-Center,6-1,180,"December 3, 1912"
1084,NA,Russ Ochsenhirt,1938,1939,Forward,6-3,195,"April 16, 1912"
1085,NA,Jack Ozburn,1938,1942,Guard-Forward,6-1,170,"January 4, 1913"
1086,NA,Johnny Pawk,1938,1939,Forward,6-2,210,"December 23, 1910"
1087,NA,Steve Pawk,1938,1938,Center-Forward,6-4,175,"August 14, 1914"
1088,NA,Bill Perigo,1938,1939,Forward,6-0,180,"September 17, 1911"
1089,NA,Woody Pitzer,1938,1938,Guard-Forward,6-0,160,"November 3, 1910"
1090,NA,Pete Preboske,1938,1939,Forward,6-1,195,"January 21, 1914"
1091,NA,Cy Proffitt,1938,1938,Forward,6-3,190,"October 26, 1911"
1092,NA,Bart Quinn,1938,1938,Forward,6-2,210,"February 19, 1917"
1093,NA,Stan Raiman,1938,1938,Guard-Forward,5-9,140,"March 22, 1914"
1094,NA,Bill Reeves,1938,1938,Guard,5-10,165,"December 5, 1904"
1095,NA,Marty Reiter,1938,1939,Guard,5-7,160,"August 25, 1911"
1096,NA,Ted Rigg,1938,1938,Guard,6-0,175,"June 7, 1913"
1097,NA,Glenn Roberts,1938,1942,Center-Forward,6-5,200,"October 25, 1912"
1098,NA,Wyman Roberts,1938,1938,Forward,5-11,160,"September 27, 1915"
1099,NA,Malcolm Rush,1938,1938,Forward,NA,NA,"April 2, 1909"
1100,NA,Lou Rutter,1938,1938,Guard,6-2,180,"August 4, 1914"
1101,NA,Leo Sack,1938,1938,Guard,5-8,145,"May 18, 1914"
1102,NA,Junior Saffer,1938,1938,Forward,6-0,165,"July 27, 1918"
1103,NA,Louie Sauer,1938,1938,Forward-Center,6-6,235,"September 3, 1915"
1104,NA,Glenn Schlechty,1938,1938,Forward,6-6,185,"March 31, 1912"
1105,NA,Gene Scholz,1938,1938,Forward,5-8,160,"September 28, 1917"
1106,NA,Bill Schrader,1938,1938,Center,6-7,210,"May 14, 1910"
1107,NA,Jack Shaffer,1938,1938,Forward-Center,6-3,190,"August 13, 1909"
1108,NA,Frank Shamel,1938,1938,Forward,6-0,200,"December 6, 1912"
1109,1404,Charley Shipp,1938,1949,Guard-Forward,6-1,200,"December 3, 1913"
1110,NA,Slim Shoun,1938,1939,Center,6-11,175,"October 4, 1904"
1111,NA,Pres Slack,1938,1939,Center-Forward,6-2,180,"December 28, 1908"
1112,NA,Don Smith,1938,1939,Guard,6-0,170,"October 8, 1910"
1113,NA,Bello Snyder,1938,1938,Forward,5-9,185,"February 7, 1912"
1114,NA,Joe Sotak,1938,1941,Forward-Center,6-2,210,"February 9, 1914"
1115,NA,Joe Stack,1938,1939,Guard-Forward,5-10,185,"November 5, 1912"
1116,NA,Howard Stammler,1938,1938,Guard-Forward,5-10,155,"July 23, 1911"
