Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Active
1001,Adrienne Johnson,1997,2003,G,5-10,154,"February 5, 1974",Ohio State,No
1002,Andrea Congreaves,1997,1999,F-C,6-2,183,"June 3, 1970",Mercer University,No
1003,Andrea Stinson,1997,2005,G,5-10,158,"November 25, 1967",NC State,No
1004,Anita Maxwell,1997,1997,F,NA,NA,"April 7, 1974",New Mexico State,No
1005,Bridget Pettis,1997,2006,G,5-9,150,"January 1, 1971",Florida,No
1006,Bridgette Gordon,1997,1998,F,6-0,172,"April 27, 1967",Tennessee,No
1007,Cassandra Crumpton-Moorer,1997,1997,G,5-11,175,"October 29, 1962",Alabama,No
1008,Catarina Pollini,1997,1997,F,6-5,NA,"March 16, 1966",Texas,No
1009,Chantel Tremitiere,1997,2000,G,5-6,142,"October 20, 1969",Auburn,No
1010,Corissa Yasen,1997,1997,G,6-0,160,"December 5, 1973",Purdue,No
1011,Cynthia Cooper,1997,2003,G,5-10,150,"April 14, 1963",USC,No
1012,Daedra Charles,1997,1997,F-C,6-3,225,"November 22, 1968",Tennessee,No
1013,Danielle Viglione,1997,1997,G,5-10,157,"March 7, 1975",Texas,No
1014,Deborah Carter,1997,1998,G-F,6-1,185,"January 3, 1972",Georgia,No
1015,Debra Williams,1997,1997,G,5-8,NA,"September 23, 1972",Louisiana Tech,No
1016,Dena Head,1997,2000,G,5-10,175,"August 16, 1970",Tennessee,No
1017,Denique Graves,1997,1997,C,6-3,212,"September 16, 1975",Howard University,No
1018,Elena Baranova,1997,2005,F,6-5,182,"January 28, 1972",NA,No
1019,Eva Nemcova,1997,2001,F,6-3,178,"December 3, 1972",NA,No
1020,Fran Harris,1997,1998,G-F,6-0,153,"March 12, 1965",Texas,No
1021,Greta Koss,1997,1997,F,6-1,145,"June 12, 1974",Montana,No
1022,Haixia Zheng,1997,1998,C,6-8,254,"March 7, 1967",NA,No
1023,Heidi Burge,1997,1998,F-C,6-5,185,"November 12, 1971",Virginia,No
1024,Isabelle Fijalkowski,1997,1998,F-C,6-5,200,"May 23, 1972",Colorado,No
1025,Jamila Wideman,1997,2000,G,5-6,135,"October 16, 1975",Stanford,No
1026,Janeth Arcain,1997,2005,G,5-11,147,"April 11, 1969",NA,No
1027,Janice Braxton,1997,1999,F,6-3,178,"June 7, 1962",Louisiana Tech,No
1028,Jasmina Perazic-Gipe,1997,1997,G-F,6-0,NA,"December 6, 1960",Maryland,No
1029,Jennifer Gillom,1997,2003,F-C,6-3,180,"June 13, 1964",Ole Miss,No
1030,Jenny Boucek,1997,1997,G,5-8,130,"December 20, 1973",Virginia,No
1031,Jessie Hicks,1997,2004,C-F,6-4,188,"December 2, 1971",Maryland,No
1032,Judy Mosley-McAfee,1997,1997,F,6-1,NA,"March 17, 1968",Hawaii,No
1033,Karen Booker,1997,1998,C,6-1,170,"April 10, 1965",Vanderbilt,No
1034,Katasha Artis,1997,1997,F,6-1,155,"July 8, 1973","Virginia, Northeastern University",No
1035,Katrina Colleton,1997,2001,F,5-10,145,"March 17, 1971",Maryland,No
1036,Kim Gessig,1997,1997,F,6-3,NA,"December 29, 1970",USC,No
1037,Kim Perrot,1997,1998,G,5-5,130,"January 18, 1967",Louisiana,No
1038,Kim Williams,1997,1998,G,5-6,136,"October 14, 1974",DePaul,No
1039,Kisha Ford,1997,2001,G-F,5-10,153,"April 4, 1975",Georgia Tech,No
1040,Kym Hampton,1997,1999,C,6-2,210,"November 3, 1962",Arizona State,No
1041,Lady Grooms,1997,2004,F,5-10,160,"September 12, 1970",Georgia,No
1042,Latasha Byears,1997,2008,G-F,5-11,206,"August 12, 1973",DePaul,No
1043,Laure Savasta,1997,1997,G,5-8,135,"March 18, 1974",Washington,No
1044,Linda Burgess,1997,2000,F,6-1,173,"July 27, 1969",Alabama,No
1045,Lisa Leslie,1997,2009,C,6-5,170,"July 7, 1972",USC,No
1046,Lynette Woodard,1997,1998,G,6-0,160,"August 12, 1959",Kansas,No
1047,Marcie Alberts,1997,1997,G,5-4,NA,"April 12, 1975",Ohio State,No
1048,Margold Clark,1997,1997,F-C,6-3,NA,"January 1, 1971",Arizona,No
1049,Marlies Askamp,1997,2002,C,6-5,198,"July 8, 1970",NA,No
1050,Megan Compain,1997,1997,G,5-9,NA,"September 18, 1975",Saint Joseph's,No
1051,Merlakia Jones,1997,2004,G,5-10,147,"June 21, 1973",Florida,No
1052,Michele Timms,1997,2001,G,5-7,132,"June 28, 1965",NA,No
1053,Michelle Edwards,1997,2001,G,5-9,150,"March 6, 1966",Iowa,No
1054,Mikiko Hagiwara,1997,1998,G,5-9,160,"April 27, 1970",NA,No
1055,Milica Vukadinovic,1997,1997,G,6-1,150,"November 18, 1968",California,No
1056,Molly Tuter,1997,1997,G,NA,NA,"August 25, 1975",Arizona State,No
1057,Monique Ambers,1997,2002,F,6-4,NA,"December 21, 1970",Arizona State,No
1058,Mwadi Mabika,1997,2008,G,5-11,165,"July 27, 1976",NA,No
1059,Nancy Lieberman,1997,2008,G,5-10,150,"July 1, 1958",Old Dominion,No
1060,Nicole Levesque,1997,1997,G,5-3,115,"April 11, 1972",Wake Forest,No
1061,Pamela McGee,1997,1998,F-C,6-3,180,"December 1, 1962",USC,No
1062,Penny Moore,1997,1999,F,6-0,NA,"January 25, 1969",Cal State Long Beach,No
1063,Penny Toler,1997,1999,G,5-8,132,"March 24, 1966","San Diego State, Cal State Long Beach",No
1064,Pietra Gay,1997,1997,G-F,5-11,NA,"August 21, 1974",LSU,No
1065,Raegan Pebley,1997,1998,F-C,6-3,169,"August 12, 1975",Colorado,No
1066,Rebecca Lobo,1997,2003,C,6-4,185,"October 6, 1973",UConn,No
1067,Rhonda Blades,1997,1998,G,5-7,138,"October 29, 1972",Vanderbilt,No
1068,Rhonda Mapp,1997,2003,C,6-2,190,"October 13, 1969",NC State,No
1069,Rushia Brown,1997,2003,F,6-2,175,"May 5, 1972",Furman University,No
1070,Ruthie Bolton,1997,2004,G,5-9,150,"May 27, 1967",Auburn,No
1071,Ryneldi Becenti,1997,1997,G,5-6,NA,"August 11, 1971","Scottsdale Community College, Arizona State",No
1072,Sharon Manning,1997,2000,F-C,6-3,186,"March 20, 1969",NC State,No
1073,Sheryl Swoopes,1997,2011,F-G,6-0,145,"March 25, 1971",Texas Tech,No
1074,Sophia Witherspoon,1997,2003,G,5-10,145,"July 6, 1969",Florida,No
1075,Sue Wicks,1997,2002,F,6-3,174,"November 26, 1966",Rutgers University,No
1076,Susie Hopson-Shelton,1997,1997,F,6-2,175,"June 21, 1974",Mars Hill University,No
1077,Tajama Abraham,1997,1998,C,6-2,190,"September 27, 1975",George Washington,No
1078,Tamecka Dixon,1997,2009,G,5-9,148,"December 14, 1975",Kansas,No
1079,Tammi Reiss,1997,1998,G,5-6,129,"April 2, 1970",Virginia,No
1080,Tammy Jackson,1997,2002,F-C,6-2,190,"December 3, 1962",Florida,No
1081,Tara Williams,1997,2000,G,5-11,170,"July 23, 1974",Auburn,No
1082,Teresa Weatherspoon,1997,2004,G,5-8,161,"December 8, 1965",Louisiana Tech,No
1083,Tia Jackson,1997,1997,F,6-0,148,"April 21, 1972",Iowa,No
1084,Tiffany Woosley,1997,1998,G,5-7,132,"April 26, 1973",Tennessee,No
1085,Tina Nicholson,1997,1997,G,5-2,146,"September 27, 1973",Penn State,No
1086,Tina Thompson,1997,2013,F,6-2,178,"February 10, 1975",USC,No
1087,Toni Foster,1997,1999,F-C,6-1,175,"October 16, 1971",Iowa,No
1088,Tora Suber,1997,1999,G,5-7,137,"November 23, 1974",Virginia,No
1089,Travesa Gant,1997,1997,C,NA,NA,"October 10, 1971",Lamar,No
1090,Trena Trice,1997,1998,F-C,6-2,180,"August 4, 1965",NC State,No
1091,Umeki Webb,1997,2000,G-F,5-10,162,"June 26, 1975",NC State,No
1092,Vickie Johnson,1997,2009,G-F,5-9,150,"April 15, 1972",Louisiana Tech,No
1093,Vicky Bullett,1997,2002,F,6-3,185,"October 4, 1967",Maryland,No
1094,Wanda Guyton,1997,1999,C,6-1,178,"October 14, 1968",South Florida,No
1095,Wendy Palmer,1997,2007,F,6-2,165,"August 12, 1974",Virginia,No
1096,Yolanda Moore,1997,1999,F-C,6-0,175,"July 1, 1974",Ole Miss,No
1097,Yvette Angel,1997,1997,G,5-8,NA,"October 14, 1963",Ohio State,No
