Team Name,Conference,Division,W,L,W/L%,GB,PS/G,PA/G,SRS,URL,Season
Atlantic Division,Eastern,Atlantic,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Boston Celtics (2),Eastern,Atlantic,6,1,.857,—,123.7,112.0,7.62,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
New York Knicks (3),Eastern,Atlantic,3,2,.600,2.0,116.0,109.0,8.04,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Brooklyn Nets (5),Eastern,Atlantic,3,3,.500,2.5,118.3,116.7,-1.10,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Toronto Raptors (12),Eastern,Atlantic,2,5,.286,4.0,119.4,125.6,-6.84,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Philadelphia 76ers (13),Eastern,Atlantic,1,4,.200,4.0,107.2,116.4,-15.44,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Central Division,Eastern,Central,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Cleveland Cavaliers (1),Eastern,Central,7,0,1.000,—,123.1,108.4,12.13,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Chicago Bulls (5),Eastern,Central,3,3,.500,3.5,113.2,116.8,-2.82,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Indiana Pacers (9),Eastern,Central,2,4,.333,4.5,115.8,121.0,-6.60,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Milwaukee Bucks (14),Eastern,Central,1,5,.167,5.5,111.3,118.7,-7.66,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Detroit Pistons (14),Eastern,Central,1,5,.167,5.5,104.8,113.5,-7.75,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Southeast Division,Eastern,Southeast,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Miami Heat (3),Eastern,Southeast,3,2,.600,—,108.4,106.8,-0.24,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Orlando Magic (5),Eastern,Southeast,3,3,.500,0.5,111.7,109.8,1.67,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Washington Wizards (8),Eastern,Southeast,2,3,.400,1.0,114.0,122.8,-7.62,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Atlanta Hawks (9),Eastern,Southeast,2,4,.333,1.5,117.2,123.5,-6.82,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Charlotte Hornets (9),Eastern,Southeast,2,4,.333,1.5,114.3,119.0,-3.52,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Northwest Division,Western,Northwest,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Oklahoma City Thunder (1),Western,Northwest,6,0,1.000,—,115.2,97.5,17.28,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Minnesota Timberwolves (7),Western,Northwest,3,3,.500,3.0,111.3,112.5,-1.20,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Denver Nuggets (7),Western,Northwest,3,3,.500,3.0,117.8,116.2,1.39,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Portland Trail Blazers (14),Western,Northwest,2,5,.286,4.5,106.7,114.9,-2.48,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Utah Jazz (15),Western,Northwest,0,6,.000,6.0,99.8,118.5,-15.64,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Pacific Division,Western,Pacific,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Phoenix Suns (2),Western,Pacific,5,1,.833,—,113.8,109.8,6.38,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Golden State Warriors (2),Western,Pacific,5,1,.833,—,121.0,103.0,15.95,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Los Angeles Lakers (4),Western,Pacific,4,2,.667,1.0,118.3,119.0,2.09,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Sacramento Kings (7),Western,Pacific,3,3,.500,2.0,119.5,114.7,-0.31,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Los Angeles Clippers (13),Western,Pacific,2,4,.333,3.0,108.3,110.0,5.81,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Southwest Division,Western,Southwest,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Dallas Mavericks (5),Western,Southwest,3,2,.600,—,110.8,109.4,0.93,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Memphis Grizzlies (6),Western,Southwest,4,3,.571,—,119.0,116.3,-2.35,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
Houston Rockets (7),Western,Southwest,3,3,.500,0.5,112.3,109.5,5.53,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
San Antonio Spurs (7),Western,Southwest,3,3,.500,0.5,105.2,104.7,2.57,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
New Orleans Pelicans (7),Western,Southwest,3,3,.500,0.5,108.5,114.2,-2.75,https://www.basketball-reference.com/leagues/NBA_2025.html,2025
