No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,URL,Team,Season
10,Zaccharie Risacher,SF,6-8,200,"April 8, 2005",es ES,0,,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
15,Clint Capela,C,6-10,240,"May 18, 1994",ch CH,10,,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
11,Trae Young,PG,6-1,164,"September 19, 1998",us US,6,Oklahoma,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
1,Jalen Johnson,SF,6-9,220,"December 18, 2001",us US,3,Duke,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
5,Dyson Daniels,SG,6-8,199,"March 17, 2003",au AU,2,,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
17,Onyeka Okongwu,C,6-8,235,"December 11, 2000",us US,4,USC,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
24,Garrison Mathews,SG,6-5,215,"October 24, 1996",us US,5,Lipscomb,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
12,De'Andre Hunter,SF,6-8,225,"December 2, 1997",us US,5,Virginia,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
8,David Roddy,PF,6-4,255,"March 27, 2001",us US,2,Colorado State,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
27,Vit Krejci,PG,6-8,195,"June 19, 2000",cz CZ,3,,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
13,Bogdan Bogdanović,SG,6-5,220,"August 18, 1992",rs RS,7,,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
2,Keaton Wallace  (TW),PG,6-3,195,"February 26, 1999",us US,0,Texas-San Antonio,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
22,Larry Nance Jr.,PF,6-8,245,"January 1, 1993",us US,9,Wyoming,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
4,Kobe Bufkin,SG,6-4,195,"September 21, 2003",us US,1,Michigan,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
0,Dominick Barlow  (TW),SF,6-9,221,"May 26, 2003",us US,2,,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
18,Mouhamed Gueye,PF,6-11,210,"November 9, 2002",sn SN,1,Washington State,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
NA,Cody Zeller,C,6-11,240,"October 5, 1992",us US,11,Indiana,https://www.basketball-reference.com/teams/ATL/2025.html,ATL,2024-2025
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us US,4,Oregon,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
9,Derrick White,SG,6-4,190,"July 2, 1994",us US,7,"Colorado-Colorado Springs, Colorado",https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
0,Jayson Tatum,PF,6-8,210,"March 3, 1998",us US,7,Duke,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
4,Jrue Holiday,PG,6-4,205,"June 12, 1990",us US,15,UCLA,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",us US,8,California,https://www.basketball-reference.com/teams/BOS/2025.html,BOS,2024-2025
