Team Name,Team Abbr.,League,Season,Division,Division Rank,Opening Round Wins,Opening Round Losses,Opening Round Opp.,Won Opening Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Championship Wins,Championship Losses,Championship Opp.,Won Championship
Akron Firestone Non-Skids,AFN,NBL,1938,Eastern,1,NA,NA,NA,NA,0,2,Akron Goodyear Wingfoots,No,NA,NA,NA,NA
Akron Goodyear Wingfoots,AGW,NBL,1938,Eastern,2,NA,NA,NA,NA,2,0,Akron Firestone Non-Skids,Yes,2,1,Oshkosh All-Stars,Yes
Pittsburgh Pirates,PTS,NBL,1938,Eastern,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buffalo Bisons,BFB,NBL,1938,Eastern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Warren Penns,WRP,NBL,1938,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbus Athletic Supply,CAS,NBL,1938,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oshkosh All-Stars,OAS,NBL,1938,Western,1,NA,NA,NA,NA,2,0,Whiting Ciesar All-Americans,Yes,1,2,Akron Goodyear Wingfoots,No
Whiting Ciesar All-Americans,WCA,NBL,1938,Western,2,NA,NA,NA,NA,0,2,Oshkosh All-Stars,No,NA,NA,NA,NA
Fort Wayne General Electrics,FWG,NBL,1938,Western,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis Kautskys,INK,NBL,1938,Western,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati Comellos,CNC,NBL,1938,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kankakee Gallagher Trojans,KGT,NBL,1938,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dayton Metropolitans,DYM,NBL,1938,Western,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron Firestone Non-Skids,AFN,NBL,1939,Eastern,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,Oshkosh All-Stars,Yes
Akron Goodyear Wingfoots,AGW,NBL,1939,Eastern,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland White Horses,CWH,NBL,1939,Eastern,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pittsburgh Pirates,PTS,NBL,1939,Eastern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oshkosh All-Stars,OAS,NBL,1939,Western,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3,Akron Firestone Non-Skids,No
Indianapolis Kautskys,INK,NBL,1939,Western,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheboygan Redskins,SHR,NBL,1939,Western,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hammond Ciesar All-Americans,HCA,NBL,1939,Western,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron Firestone Non-Skids,AFN,NBL,1940,Eastern,1,NA,NA,NA,NA,2,1,Detroit Eagles,Yes,3,2,Oshkosh All-Stars,Yes
Detroit Eagles,DTE,NBL,1940,Eastern,2,NA,NA,NA,NA,1,2,Akron Firestone Non-Skids,No,NA,NA,NA,NA
Akron Goodyear Wingfoots,AGW,NBL,1940,Eastern,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indianapolis Kautskys,INK,NBL,1940,Eastern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oshkosh All-Stars,OAS,NBL,1940,Western,1,NA,NA,NA,NA,2,1,Sheboygan Redskins,Yes,2,3,Akron Firestone Non-Skids,No
Sheboygan Redskins,SHR,NBL,1940,Western,2,NA,NA,NA,NA,1,2,Oshkosh All-Stars,No,NA,NA,NA,NA
