Team Name,Team Abbr.,G,W,L,W/L%,GB,League,Season,Division,Division Rank,Made Playoffs
Akron Firestone Non-Skids,AFN,18,14,4,0.778,0,NBL,1938,Eastern,1,Yes
Akron Goodyear Wingfoots,AGW,18,13,5,0.722,1,NBL,1938,Eastern,2,Yes
Pittsburgh Pirates,PTS,13,8,5,0.615,3.5,NBL,1938,Eastern,3,No
Buffalo Bisons,BFB,9,3,6,0.333,6.5,NBL,1938,Eastern,4,No
Warren Penns,WRP,12,3,9,0.25,8,NBL,1938,Eastern,5,No
Columbus Athletic Supply,CAS,13,1,12,0.077,10.5,NBL,1938,Eastern,6,No
Oshkosh All-Stars,OAS,14,12,2,0.857,0,NBL,1938,Western,1,Yes
Whiting Ciesar All-Americans,WCA,15,12,3,0.8,0.5,NBL,1938,Western,2,Yes
Fort Wayne General Electrics,FWG,20,13,7,0.65,2,NBL,1938,Western,3,No
Indianapolis Kautskys,INK,13,4,9,0.308,7.5,NBL,1938,Western,4,No
Cincinnati Comellos,CNC,10,3,7,0.3,7,NBL,1938,Western,5,No
Kankakee Gallagher Trojans,KGT,14,3,11,0.214,9,NBL,1938,Western,6,No
Dayton Metropolitans,DYM,13,2,11,0.154,9.5,NBL,1938,Western,7,No
Akron Firestone Non-Skids,AFN,27,24,3,0.889,0,NBL,1939,Eastern,1,Yes
Akron Goodyear Wingfoots,AGW,28,14,14,0.5,10.5,NBL,1939,Eastern,2,No
Cleveland White Horses,CWH,28,14,14,0.5,10.5,NBL,1939,Eastern,3,No
Pittsburgh Pirates,PTS,27,13,14,0.481,11,NBL,1939,Eastern,4,No
Oshkosh All-Stars,OAS,28,17,11,0.607,0,NBL,1939,Western,1,Yes
Indianapolis Kautskys,INK,26,13,13,0.5,3,NBL,1939,Western,2,No
Sheboygan Redskins,SHR,28,11,17,0.393,6,NBL,1939,Western,3,No
Hammond Ciesar All-Americans,HCA,28,4,24,0.143,13,NBL,1939,Western,4,No
Akron Firestone Non-Skids,AFN,28,19,9,0.679,0,NBL,1940,Eastern,1,Yes
Detroit Eagles,DTE,28,17,11,0.607,2,NBL,1940,Eastern,2,Yes
Akron Goodyear Wingfoots,AGW,28,14,14,0.5,5,NBL,1940,Eastern,3,No
Indianapolis Kautskys,INK,28,9,19,0.321,10,NBL,1940,Eastern,4,No
Oshkosh All-Stars,OAS,28,15,13,0.536,0,NBL,1940,Western,1,Yes
Sheboygan Redskins,SHR,28,15,13,0.536,0,NBL,1940,Western,2,Yes
