team_name,conference
Atlanta Hawks,Eastern
Boston Celtics,Eastern
Brooklyn Nets,Eastern
Charlotte Bobcats,Eastern
Charlotte Hornets,Eastern
Chicago Bulls,Eastern
Cleveland Cavaliers,Eastern
Dallas Mavericks,Western
Denver Nuggets,Western
Detroit Pistons,Eastern
Golden State Warriors,Western
Houston Rockets,Western
Indiana Pacers,Eastern
LA Clippers,Western
Los Angeles Lakers,Western
Memphis Grizzlies,Western
Miami Heat,Eastern
Milwaukee Bucks,Eastern
Minnesota Timberwolves,Western
New Orleans Pelicans,Western
New York Knicks,Eastern
Oklahoma City Thunder,Western
Orlando Magic,Eastern
Philadelphia 76ers,Eastern
Phoenix Suns,Western
Portland Trail Blazers,Western
Sacramento Kings,Western
San Antonio Spurs,Western
Toronto Raptors,Eastern
Utah Jazz,Western
Washington Wizards,Eastern
