team_display_name,team_abbreviation,conference,join_season1,left_season1,join_season2,left_season2,join_season3,left_season3,current_member
Davidson Wildcats,DAV,A-10,2015,NA,NA,NA,NA,NA,Y
Dayton Flyers,DAY,A-10,1996,NA,NA,NA,NA,NA,Y
Duquesne Dukes,DUQ,A-10,1977,NA,NA,NA,NA,NA,Y
Fordham Rams,FOR,A-10,1996,NA,NA,NA,NA,NA,Y
George Mason Patriots,GMU,A-10,2014,NA,NA,NA,NA,NA,Y
George Washington Revolutionaries,GW,A-10,1977,NA,NA,NA,NA,NA,Y
La Salle Explorers,LAS,A-10,1996,NA,NA,NA,NA,NA,Y
Loyola Chicago Ramblers,LUC,A-10,2023,NA,NA,NA,NA,NA,Y
Massachusetts Minutemen,MASS,A-10,1977,NA,NA,NA,NA,NA,Y
Rhode Island Rams,URI,A-10,1981,NA,NA,NA,NA,NA,Y
Richmond Spiders,RICH,A-10,2002,NA,NA,NA,NA,NA,Y
Saint Joseph's Hawks,JOES,A-10,1983,NA,NA,NA,NA,NA,Y
Saint Louis Billikens,SLU,A-10,2006,NA,NA,NA,NA,NA,Y
St. Bonaventure Bonnies,SBU,A-10,1980,NA,NA,NA,NA,NA,Y
VCU Rams,VCU,A-10,2013,NA,NA,NA,NA,NA,Y
Butler Bulldogs,BUT,A-10,2013,2014,NA,NA,NA,NA,N
Charlotte 49ers,CHAR,A-10,2006,2014,NA,NA,NA,NA,N
Temple Owls,TEM,A-10,1983,2014,NA,NA,NA,NA,N
Virginia Tech Hokies,VT,A-10,1996,2001,NA,NA,NA,NA,N
Xavier Musketeers,XAV,A-10,1996,2014,NA,NA,NA,NA,N
Charlotte 49ers,CHAR,AAC,2024,NA,NA,NA,NA,NA,Y
East Carolina Pirates,ECU,AAC,2015,NA,NA,NA,NA,NA,Y
Florida Atlantic Owls,FAU,AAC,2024,NA,NA,NA,NA,NA,Y
Memphis Tigers,MEM,AAC,2014,NA,NA,NA,NA,NA,Y
North Texas Mean Green,UNT,AAC,2024,NA,NA,NA,NA,NA,Y
Rice Owls,RICE,AAC,2024,NA,NA,NA,NA,NA,Y
South Florida Bulls,USF,AAC,2014,NA,NA,NA,NA,NA,Y
Temple Owls,TEM,AAC,2014,NA,NA,NA,NA,NA,Y
Tulane Green Wave,TULN,AAC,2015,NA,NA,NA,NA,NA,Y
Tulsa Golden Hurricane,TLSA,AAC,2015,NA,NA,NA,NA,NA,Y
UAB Blazers,UAB,AAC,2024,NA,NA,NA,NA,NA,Y
UTSA Roadrunners,UTSA,AAC,2024,NA,NA,NA,NA,NA,Y
Wichita State Shockers,WICH,AAC,2018,NA,NA,NA,NA,NA,Y
Cincinnati Bearcats,CIN,AAC,2014,2024,NA,NA,NA,NA,N
Houston Cougars,HOU,AAC,2014,2024,NA,NA,NA,NA,N
Louisville Cardinals,LOU,AAC,2014,2015,NA,NA,NA,NA,N
Rutgers Scarlet Knights,RUTG,AAC,2014,2015,NA,NA,NA,NA,N
SMU Mustangs,SMU,AAC,2014,2025,NA,NA,NA,NA,N
UCF Knights,UCF,AAC,2014,2024,NA,NA,NA,NA,N
UConn Huskies,CONN,AAC,2014,2021,NA,NA,NA,NA,N
Boston College Eagles,BC,ACC,2006,NA,NA,NA,NA,NA,Y
California Golden Bears,CAL,ACC,2025,NA,NA,NA,NA,NA,Y
Clemson Tigers,CLEM,ACC,1954,NA,NA,NA,NA,NA,Y
Duke Blue Devils,DUKE,ACC,1954,NA,NA,NA,NA,NA,Y
Florida State Seminoles,FSU,ACC,1992,NA,NA,NA,NA,NA,Y
Georgia Tech Yellow Jackets,GT,ACC,1980,NA,NA,NA,NA,NA,Y
Louisville Cardinals,LOU,ACC,2015,NA,NA,NA,NA,NA,Y
Miami Hurricanes,MIA,ACC,2005,NA,NA,NA,NA,NA,Y
NC State Wolfpack,NCST,ACC,1954,NA,NA,NA,NA,NA,Y
North Carolina Tar Heels,UNC,ACC,1954,NA,NA,NA,NA,NA,Y
Notre Dame Fighting Irish,ND,ACC,2014,NA,NA,NA,NA,NA,Y
Pittsburgh Panthers,PITT,ACC,2014,NA,NA,NA,NA,NA,Y
SMU Mustangs,SMU,ACC,2025,NA,NA,NA,NA,NA,Y
Stanford Cardinal,STAN,ACC,2025,NA,NA,NA,NA,NA,Y
Syracuse Orange,SYR,ACC,2014,NA,NA,NA,NA,NA,Y
Virginia Cavaliers,UVA,ACC,1954,NA,NA,NA,NA,NA,Y
Virginia Tech Hokies,VT,ACC,2005,NA,NA,NA,NA,NA,Y
Wake Forest Demon Deacons,WAKE,ACC,1954,NA,NA,NA,NA,NA,Y
Maryland Terrapins,MD,ACC,1954,2015,NA,NA,NA,NA,N
Albany Great Danes,ALB,AEC,2002,NA,NA,NA,NA,NA,Y
Binghamton Bearcats,BING,AEC,2002,NA,NA,NA,NA,NA,Y
Bryant Bulldogs,BRY,AEC,2023,NA,NA,NA,NA,NA,Y
Maine Black Bears,ME,AEC,1980,NA,NA,NA,NA,NA,Y
New Hampshire Wildcats,UNH,AEC,1980,NA,NA,NA,NA,NA,Y
NJIT Highlanders,NJIT,AEC,2021,NA,NA,NA,NA,NA,Y
UMass Lowell River Hawks,UML,AEC,2014,NA,NA,NA,NA,NA,Y
UMBC Retrievers,UMBC,AEC,2004,NA,NA,NA,NA,NA,Y
Vermont Catamounts,UVM,AEC,1980,NA,NA,NA,NA,NA,Y
Boston University Terriers,BU,AEC,1980,2014,NA,NA,NA,NA,N
Delaware Blue Hens,DEL,AEC,1992,2002,NA,NA,NA,NA,N
Drexel Dragons,DREX,AEC,1992,2002,NA,NA,NA,NA,N
Hartford Hawks,HART,AEC,1985,2023,NA,NA,NA,NA,N
Hofstra Pride,HOF,AEC,1995,2002,NA,NA,NA,NA,N
Northeastern Huskies,NE,AEC,1980,2006,NA,NA,NA,NA,N
Stony Brook Seawolves,STBK,AEC,2002,2023,NA,NA,NA,NA,N
Towson Tigers,TOW,AEC,1996,2002,NA,NA,NA,NA,N
Austin Peay Governors,APSU,A-Sun,2023,NA,NA,NA,NA,NA,Y
Bellarmine Knights,BELL,A-Sun,2021,NA,NA,NA,NA,NA,Y
Central Arkansas Sugar Bears,CARK,A-Sun,2022,NA,NA,NA,NA,NA,Y
Eastern Kentucky Colonels,EKU,A-Sun,2022,NA,NA,NA,NA,NA,Y
Florida Gulf Coast Eagles,FGCU,A-Sun,2011,NA,NA,NA,NA,NA,Y
Jacksonville Dolphins,JAX,A-Sun,1999,NA,NA,NA,NA,NA,Y
Lipscomb Bisons,LIP,A-Sun,2004,NA,NA,NA,NA,NA,Y
North Alabama Lions,UNA,A-Sun,2019,NA,NA,NA,NA,NA,Y
North Florida Ospreys,UNF,A-Sun,2010,NA,NA,NA,NA,NA,Y
Queens University Royals,QUOC,A-Sun,2023,NA,NA,NA,NA,NA,Y
Stetson Hatters,STET,A-Sun,1986,NA,NA,NA,NA,NA,Y
West Georgia Wolves,WGA,A-Sun,2025,NA,NA,NA,NA,NA,Y
Belmont Bruins,BEL,A-Sun,2002,2013,NA,NA,NA,NA,N
Campbell Fighting Camels,CAMP,A-Sun,1995,2012,NA,NA,NA,NA,N
Centenary (LA) Gentlemen,CENTELA,A-Sun,1979,2000,NA,NA,NA,NA,N
East Tennessee State Buccaneers,ETSU,A-Sun,2006,2015,NA,NA,NA,NA,N
Florida Atlantic Owls,FAU,A-Sun,1994,2007,NA,NA,NA,NA,N
Gardner-Webb Runnin' Bulldogs,GWEB,A-Sun,2003,2009,NA,NA,NA,NA,N
Georgia State Panthers,GAST,A-Sun,1984,2006,NA,NA,NA,NA,N
Jacksonville State Gamecocks,JVST,A-Sun,1996,2004,2022,2024,NA,NA,N
Kennesaw State Owls,KENN,A-Sun,2010,2025,NA,NA,NA,NA,N
Liberty Flames,LIB,A-Sun,2019,2024,NA,NA,NA,NA,N
Mercer Bears,MER,A-Sun,1979,2015,NA,NA,NA,NA,N
NJIT Highlanders,NJIT,A-Sun,2016,2021,NA,NA,NA,NA,N
Northern Kentucky Norse,NKU,A-Sun,2013,2016,NA,NA,NA,NA,N
Samford Bulldogs,SAM,A-Sun,1979,2004,NA,NA,NA,NA,N
South Carolina Upstate Spartans,UPST,A-Sun,2011,2019,NA,NA,NA,NA,N
Troy Trojans,TROY,A-Sun,1998,2006,NA,NA,NA,NA,N
UCF Knights,UCF,A-Sun,1993,2006,NA,NA,NA,NA,N
Arizona State Sun Devils,ASU,Big 12,2025,NA,NA,NA,NA,NA,Y
Arizona Wildcats,ARIZ,Big 12,2025,NA,NA,NA,NA,NA,Y
Baylor Bears,BAY,Big 12,1997,NA,NA,NA,NA,NA,Y
BYU Cougars,BYU,Big 12,2024,NA,NA,NA,NA,NA,Y
Cincinnati Bearcats,CIN,Big 12,2024,NA,NA,NA,NA,NA,Y
Colorado Buffaloes,COLO,Big 12,1997,2012,2025,NA,NA,NA,Y
Houston Cougars,HOU,Big 12,2024,NA,NA,NA,NA,NA,Y
