Year,League,URL
1947,G LEAGUE,https://www.basketball-reference.com/gleague/years/1947.html
1948,G LEAGUE,https://www.basketball-reference.com/gleague/years/1948.html
1949,G LEAGUE,https://www.basketball-reference.com/gleague/years/1949.html
1950,G LEAGUE,https://www.basketball-reference.com/gleague/years/1950.html
1951,G LEAGUE,https://www.basketball-reference.com/gleague/years/1951.html
1952,G LEAGUE,https://www.basketball-reference.com/gleague/years/1952.html
1953,G LEAGUE,https://www.basketball-reference.com/gleague/years/1953.html
1954,G LEAGUE,https://www.basketball-reference.com/gleague/years/1954.html
1955,G LEAGUE,https://www.basketball-reference.com/gleague/years/1955.html
1956,G LEAGUE,https://www.basketball-reference.com/gleague/years/1956.html
1957,G LEAGUE,https://www.basketball-reference.com/gleague/years/1957.html
1958,G LEAGUE,https://www.basketball-reference.com/gleague/years/1958.html
1959,G LEAGUE,https://www.basketball-reference.com/gleague/years/1959.html
1960,G LEAGUE,https://www.basketball-reference.com/gleague/years/1960.html
1961,G LEAGUE,https://www.basketball-reference.com/gleague/years/1961.html
1962,G LEAGUE,https://www.basketball-reference.com/gleague/years/1962.html
1963,G LEAGUE,https://www.basketball-reference.com/gleague/years/1963.html
1964,G LEAGUE,https://www.basketball-reference.com/gleague/years/1964.html
1965,G LEAGUE,https://www.basketball-reference.com/gleague/years/1965.html
1966,G LEAGUE,https://www.basketball-reference.com/gleague/years/1966.html
1967,G LEAGUE,https://www.basketball-reference.com/gleague/years/1967.html
1968,G LEAGUE,https://www.basketball-reference.com/gleague/years/1968.html
1969,G LEAGUE,https://www.basketball-reference.com/gleague/years/1969.html
1970,G LEAGUE,https://www.basketball-reference.com/gleague/years/1970.html
1971,G LEAGUE,https://www.basketball-reference.com/gleague/years/1971.html
1972,G LEAGUE,https://www.basketball-reference.com/gleague/years/1972.html
1973,G LEAGUE,https://www.basketball-reference.com/gleague/years/1973.html
1974,G LEAGUE,https://www.basketball-reference.com/gleague/years/1974.html
1975,G LEAGUE,https://www.basketball-reference.com/gleague/years/1975.html
1976,G LEAGUE,https://www.basketball-reference.com/gleague/years/1976.html
1977,G LEAGUE,https://www.basketball-reference.com/gleague/years/1977.html
1978,G LEAGUE,https://www.basketball-reference.com/gleague/years/1978.html
1979,G LEAGUE,https://www.basketball-reference.com/gleague/years/1979.html
1980,G LEAGUE,https://www.basketball-reference.com/gleague/years/1980.html
1981,G LEAGUE,https://www.basketball-reference.com/gleague/years/1981.html
1982,G LEAGUE,https://www.basketball-reference.com/gleague/years/1982.html
1983,G LEAGUE,https://www.basketball-reference.com/gleague/years/1983.html
1984,G LEAGUE,https://www.basketball-reference.com/gleague/years/1984.html
1985,G LEAGUE,https://www.basketball-reference.com/gleague/years/1985.html
1986,G LEAGUE,https://www.basketball-reference.com/gleague/years/1986.html
1987,G LEAGUE,https://www.basketball-reference.com/gleague/years/1987.html
1988,G LEAGUE,https://www.basketball-reference.com/gleague/years/1988.html
1989,G LEAGUE,https://www.basketball-reference.com/gleague/years/1989.html
1990,G LEAGUE,https://www.basketball-reference.com/gleague/years/1990.html
1991,G LEAGUE,https://www.basketball-reference.com/gleague/years/1991.html
1992,G LEAGUE,https://www.basketball-reference.com/gleague/years/1992.html
1993,G LEAGUE,https://www.basketball-reference.com/gleague/years/1993.html
1994,G LEAGUE,https://www.basketball-reference.com/gleague/years/1994.html
1995,G LEAGUE,https://www.basketball-reference.com/gleague/years/1995.html
1996,G LEAGUE,https://www.basketball-reference.com/gleague/years/1996.html
1997,G LEAGUE,https://www.basketball-reference.com/gleague/years/1997.html
1998,G LEAGUE,https://www.basketball-reference.com/gleague/years/1998.html
1999,G LEAGUE,https://www.basketball-reference.com/gleague/years/1999.html
2000,G LEAGUE,https://www.basketball-reference.com/gleague/years/2000.html
2001,G LEAGUE,https://www.basketball-reference.com/gleague/years/2001.html
2002,G LEAGUE,https://www.basketball-reference.com/gleague/years/2002.html
2003,G LEAGUE,https://www.basketball-reference.com/gleague/years/2003.html
2004,G LEAGUE,https://www.basketball-reference.com/gleague/years/2004.html
2005,G LEAGUE,https://www.basketball-reference.com/gleague/years/2005.html
2006,G LEAGUE,https://www.basketball-reference.com/gleague/years/2006.html
2007,G LEAGUE,https://www.basketball-reference.com/gleague/years/2007.html
2008,G LEAGUE,https://www.basketball-reference.com/gleague/years/2008.html
2009,G LEAGUE,https://www.basketball-reference.com/gleague/years/2009.html
2010,G LEAGUE,https://www.basketball-reference.com/gleague/years/2010.html
2011,G LEAGUE,https://www.basketball-reference.com/gleague/years/2011.html
2012,G LEAGUE,https://www.basketball-reference.com/gleague/years/2012.html
2013,G LEAGUE,https://www.basketball-reference.com/gleague/years/2013.html
2014,G LEAGUE,https://www.basketball-reference.com/gleague/years/2014.html
2015,G LEAGUE,https://www.basketball-reference.com/gleague/years/2015.html
2016,G LEAGUE,https://www.basketball-reference.com/gleague/years/2016.html
2017,G LEAGUE,https://www.basketball-reference.com/gleague/years/2017.html
2018,G LEAGUE,https://www.basketball-reference.com/gleague/years/2018.html
2019,G LEAGUE,https://www.basketball-reference.com/gleague/years/2019.html
2020,G LEAGUE,https://www.basketball-reference.com/gleague/years/2020.html
2021,G LEAGUE,https://www.basketball-reference.com/gleague/years/2021.html
2022,G LEAGUE,https://www.basketball-reference.com/gleague/years/2022.html
2023,G LEAGUE,https://www.basketball-reference.com/gleague/years/2023.html
2024,G LEAGUE,https://www.basketball-reference.com/gleague/years/2024.html
