Team Name,Team Abbr.,Season,League,URL
Greenville Groove,GRE,2002,G League,https://www.basketball-reference.com/gleague/teams/GRE/2002.html
North Charleston Lowgators,NCH,2002,G League,https://www.basketball-reference.com/gleague/teams/NCH/2002.html
Columbus Riverdragons,CLB,2002,G League,https://www.basketball-reference.com/gleague/teams/CLB/2002.html
Mobile Revelers,MOB,2002,G League,https://www.basketball-reference.com/gleague/teams/MOB/2002.html
Fayetteville Patriots,FAY,2003,G League,https://www.basketball-reference.com/gleague/teams/FAY/2003.html
Mobile Revelers,MOB,2003,G League,https://www.basketball-reference.com/gleague/teams/MOB/2003.html
North Charleston Lowgators,NCH,2003,G League,https://www.basketball-reference.com/gleague/teams/NCH/2003.html
Roanoke Dazzle,ROA,2003,G League,https://www.basketball-reference.com/gleague/teams/ROA/2003.html
Asheville Altitude,ASH,2004,G League,https://www.basketball-reference.com/gleague/teams/ASH/2004.html
Charleston Lowgators,CHS,2004,G League,https://www.basketball-reference.com/gleague/teams/CHS/2004.html
Huntsville Flight,HUN,2004,G League,https://www.basketball-reference.com/gleague/teams/HUN/2004.html
Fayetteville Patriots,FAY,2004,G League,https://www.basketball-reference.com/gleague/teams/FAY/2004.html
Columbus Riverdragons,CLB,2005,G League,https://www.basketball-reference.com/gleague/teams/CLB/2005.html
Asheville Altitude,ASH,2005,G League,https://www.basketball-reference.com/gleague/teams/ASH/2005.html
Huntsville Flight,HUN,2005,G League,https://www.basketball-reference.com/gleague/teams/HUN/2005.html
Roanoke Dazzle,ROA,2005,G League,https://www.basketball-reference.com/gleague/teams/ROA/2005.html
Fort Worth Flyers,FTW,2006,G League,https://www.basketball-reference.com/gleague/teams/FTW/2006.html
Albuquerque Thunderbirds,ABQ,2006,G League,https://www.basketball-reference.com/gleague/teams/ABQ/2006.html
Florida Flame,FLO,2006,G League,https://www.basketball-reference.com/gleague/teams/FLO/2006.html
Roanoke Dazzle,ROA,2006,G League,https://www.basketball-reference.com/gleague/teams/ROA/2006.html
Dakota Wizards,DAK,2007,G League,https://www.basketball-reference.com/gleague/teams/DAK/2007.html
Sioux Falls Skyforce,SXF,2007,G League,https://www.basketball-reference.com/gleague/teams/SXF/2007.html
Fort Worth Flyers,FTW,2007,G League,https://www.basketball-reference.com/gleague/teams/FTW/2007.html
Idaho Stampede,IDA,2007,G League,https://www.basketball-reference.com/gleague/teams/IDA/2007.html
Colorado 14ers,COL,2007,G League,https://www.basketball-reference.com/gleague/teams/COL/2007.html
Albuquerque Thunderbirds,ABQ,2007,G League,https://www.basketball-reference.com/gleague/teams/ABQ/2007.html
Dakota Wizards,DAK,2008,G League,https://www.basketball-reference.com/gleague/teams/DAK/2008.html
Sioux Falls Skyforce,SXF,2008,G League,https://www.basketball-reference.com/gleague/teams/SXF/2008.html
Austin Toros,AST,2008,G League,https://www.basketball-reference.com/gleague/teams/AST/2008.html
Colorado 14ers,COL,2008,G League,https://www.basketball-reference.com/gleague/teams/COL/2008.html
Idaho Stampede,IDA,2008,G League,https://www.basketball-reference.com/gleague/teams/IDA/2008.html
Los Angeles D-Fenders,LOS,2008,G League,https://www.basketball-reference.com/gleague/teams/LOS/2008.html
Iowa Energy,IWE,2009,G League,https://www.basketball-reference.com/gleague/teams/IWE/2009.html
Dakota Wizards,DAK,2009,G League,https://www.basketball-reference.com/gleague/teams/DAK/2009.html
Erie BayHawks,ERI,2009,G League,https://www.basketball-reference.com/gleague/teams/ERI/2009.html
Colorado 14ers,COL,2009,G League,https://www.basketball-reference.com/gleague/teams/COL/2009.html
Austin Toros,AST,2009,G League,https://www.basketball-reference.com/gleague/teams/AST/2009.html
Utah Flash,UTA,2009,G League,https://www.basketball-reference.com/gleague/teams/UTA/2009.html
Idaho Stampede,IDA,2009,G League,https://www.basketball-reference.com/gleague/teams/IDA/2009.html
Bakersfield Jam,BAK,2009,G League,https://www.basketball-reference.com/gleague/teams/BAK/2009.html
Iowa Energy,IWE,2010,G League,https://www.basketball-reference.com/gleague/teams/IWE/2010.html
Sioux Falls Skyforce,SXF,2010,G League,https://www.basketball-reference.com/gleague/teams/SXF/2010.html
Dakota Wizards,DAK,2010,G League,https://www.basketball-reference.com/gleague/teams/DAK/2010.html
Rio Grande Valley Vipers,RGV,2010,G League,https://www.basketball-reference.com/gleague/teams/RGV/2010.html
Austin Toros,AST,2010,G League,https://www.basketball-reference.com/gleague/teams/AST/2010.html
Reno Bighorns,REN,2010,G League,https://www.basketball-reference.com/gleague/teams/REN/2010.html
Utah Flash,UTA,2010,G League,https://www.basketball-reference.com/gleague/teams/UTA/2010.html
Tulsa 66ers,TUL,2010,G League,https://www.basketball-reference.com/gleague/teams/TUL/2010.html
Iowa Energy,IWE,2011,G League,https://www.basketball-reference.com/gleague/teams/IWE/2011.html
Erie BayHawks,ERI,2011,G League,https://www.basketball-reference.com/gleague/teams/ERI/2011.html
Reno Bighorns,REN,2011,G League,https://www.basketball-reference.com/gleague/teams/REN/2011.html
Rio Grande Valley Vipers,RGV,2011,G League,https://www.basketball-reference.com/gleague/teams/RGV/2011.html
Tulsa 66ers,TUL,2011,G League,https://www.basketball-reference.com/gleague/teams/TUL/2011.html
Bakersfield Jam,BAK,2011,G League,https://www.basketball-reference.com/gleague/teams/BAK/2011.html
Utah Flash,UTA,2011,G League,https://www.basketball-reference.com/gleague/teams/UTA/2011.html
Texas Legends,TEX,2011,G League,https://www.basketball-reference.com/gleague/teams/TEX/2011.html
Dakota Wizards,DAK,2012,G League,https://www.basketball-reference.com/gleague/teams/DAK/2012.html
Springfield Armor,SPR,2012,G League,https://www.basketball-reference.com/gleague/teams/SPR/2012.html
Erie BayHawks,ERI,2012,G League,https://www.basketball-reference.com/gleague/teams/ERI/2012.html
