Team Name,Team Abbr.,Season,League,URL
Austin Spurs,AUS,2015,G League,https://www.basketball-reference.com/gleague/teams/AUS/2015.html
Austin Spurs,AUS,2016,G League,https://www.basketball-reference.com/gleague/teams/AUS/2016.html
Austin Spurs,AUS,2017,G League,https://www.basketball-reference.com/gleague/teams/AUS/2017.html
Austin Spurs,AUS,2018,G League,https://www.basketball-reference.com/gleague/teams/AUS/2018.html
Austin Spurs,AUS,2019,G League,https://www.basketball-reference.com/gleague/teams/AUS/2019.html
Austin Spurs,AUS,2020,G League,https://www.basketball-reference.com/gleague/teams/AUS/2020.html
Austin Spurs,AUS,2021,G League,https://www.basketball-reference.com/gleague/teams/AUS/2021.html
Austin Spurs,AUS,2022,G League,https://www.basketball-reference.com/gleague/teams/AUS/2022.html
Austin Spurs,AUS,2023,G League,https://www.basketball-reference.com/gleague/teams/AUS/2023.html
Austin Spurs,AUS,2024,G League,https://www.basketball-reference.com/gleague/teams/AUS/2024.html
Austin Toros,AST,2006,G League,https://www.basketball-reference.com/gleague/teams/AST/2006.html
Austin Toros,AST,2007,G League,https://www.basketball-reference.com/gleague/teams/AST/2007.html
Austin Toros,AST,2008,G League,https://www.basketball-reference.com/gleague/teams/AST/2008.html
Austin Toros,AST,2009,G League,https://www.basketball-reference.com/gleague/teams/AST/2009.html
Austin Toros,AST,2010,G League,https://www.basketball-reference.com/gleague/teams/AST/2010.html
Austin Toros,AST,2011,G League,https://www.basketball-reference.com/gleague/teams/AST/2011.html
Austin Toros,AST,2012,G League,https://www.basketball-reference.com/gleague/teams/AST/2012.html
Austin Toros,AST,2013,G League,https://www.basketball-reference.com/gleague/teams/AST/2013.html
Austin Toros,AST,2014,G League,https://www.basketball-reference.com/gleague/teams/AST/2014.html
Columbus Riverdragons,CLB,2002,G League,https://www.basketball-reference.com/gleague/teams/CLB/2002.html
Columbus Riverdragons,CLB,2003,G League,https://www.basketball-reference.com/gleague/teams/CLB/2003.html
Columbus Riverdragons,CLB,2004,G League,https://www.basketball-reference.com/gleague/teams/CLB/2004.html
Columbus Riverdragons,CLB,2005,G League,https://www.basketball-reference.com/gleague/teams/CLB/2005.html
Birmingham Squadron,BIR,2022,G League,https://www.basketball-reference.com/gleague/teams/BIR/2022.html
Birmingham Squadron,BIR,2023,G League,https://www.basketball-reference.com/gleague/teams/BIR/2023.html
Birmingham Squadron,BIR,2024,G League,https://www.basketball-reference.com/gleague/teams/BIR/2024.html
Erie BayHawks,EBH,2020,G League,https://www.basketball-reference.com/gleague/teams/EBH/2020.html
