Team Name,Team Abbr.,Season,League,URL
Washington Capitols,WSC,1947,BAA,https://www.basketball-reference.com/teams/WSC/1947.html
Philadelphia Warriors,PHW,1947,BAA,https://www.basketball-reference.com/teams/PHW/1947.html
New York Knicks,NYK,1947,BAA,https://www.basketball-reference.com/teams/NYK/1947.html
Chicago Stags,CHS,1947,BAA,https://www.basketball-reference.com/teams/CHS/1947.html
St. Louis Bombers,STB,1947,BAA,https://www.basketball-reference.com/teams/STB/1947.html
Cleveland Rebels,CLR,1947,BAA,https://www.basketball-reference.com/teams/CLR/1947.html
Philadelphia Warriors,PHW,1948,BAA,https://www.basketball-reference.com/teams/PHW/1948.html
New York Knicks,NYK,1948,BAA,https://www.basketball-reference.com/teams/NYK/1948.html
Boston Celtics,BOS,1948,BAA,https://www.basketball-reference.com/teams/BOS/1948.html
St. Louis Bombers,STB,1948,BAA,https://www.basketball-reference.com/teams/STB/1948.html
Baltimore Bullets,BLB,1948,BAA,https://www.basketball-reference.com/teams/BLB/1948.html
Chicago Stags,CHS,1948,BAA,https://www.basketball-reference.com/teams/CHS/1948.html
Washington Capitols,WSC,1948,BAA,https://www.basketball-reference.com/teams/WSC/1948.html
Washington Capitols,WSC,1949,BAA,https://www.basketball-reference.com/teams/WSC/1949.html
New York Knicks,NYK,1949,BAA,https://www.basketball-reference.com/teams/NYK/1949.html
Baltimore Bullets,BLB,1949,BAA,https://www.basketball-reference.com/teams/BLB/1949.html
Philadelphia Warriors,PHW,1949,BAA,https://www.basketball-reference.com/teams/PHW/1949.html
Rochester Royals,ROC,1949,BAA,https://www.basketball-reference.com/teams/ROC/1949.html
Minneapolis Lakers,MNL,1949,BAA,https://www.basketball-reference.com/teams/MNL/1949.html
Chicago Stags,CHS,1949,BAA,https://www.basketball-reference.com/teams/CHS/1949.html
St. Louis Bombers,STB,1949,BAA,https://www.basketball-reference.com/teams/STB/1949.html
Minneapolis Lakers,MNL,1950,NBA,https://www.basketball-reference.com/teams/MNL/1950.html
Rochester Royals,ROC,1950,NBA,https://www.basketball-reference.com/teams/ROC/1950.html
Fort Wayne Pistons,FTW,1950,NBA,https://www.basketball-reference.com/teams/FTW/1950.html
Chicago Stags,CHS,1950,NBA,https://www.basketball-reference.com/teams/CHS/1950.html
Syracuse Nationals,SYR,1950,NBA,https://www.basketball-reference.com/teams/SYR/1950.html
New York Knicks,NYK,1950,NBA,https://www.basketball-reference.com/teams/NYK/1950.html
Washington Capitols,WSC,1950,NBA,https://www.basketball-reference.com/teams/WSC/1950.html
Philadelphia Warriors,PHW,1950,NBA,https://www.basketball-reference.com/teams/PHW/1950.html
Indianapolis Olympians,INO,1950,NBA,https://www.basketball-reference.com/teams/INO/1950.html
Anderson Packers,AND,1950,NBA,https://www.basketball-reference.com/teams/AND/1950.html
Tri-Cities Blackhawks,TRI,1950,NBA,https://www.basketball-reference.com/teams/TRI/1950.html
Sheboygan Red Skins,SHE,1950,NBA,https://www.basketball-reference.com/teams/SHE/1950.html
Philadelphia Warriors,PHW,1951,NBA,https://www.basketball-reference.com/teams/PHW/1951.html
Boston Celtics,BOS,1951,NBA,https://www.basketball-reference.com/teams/BOS/1951.html
New York Knicks,NYK,1951,NBA,https://www.basketball-reference.com/teams/NYK/1951.html
Syracuse Nationals,SYR,1951,NBA,https://www.basketball-reference.com/teams/SYR/1951.html
Minneapolis Lakers,MNL,1951,NBA,https://www.basketball-reference.com/teams/MNL/1951.html
Rochester Royals,ROC,1951,NBA,https://www.basketball-reference.com/teams/ROC/1951.html
Fort Wayne Pistons,FTW,1951,NBA,https://www.basketball-reference.com/teams/FTW/1951.html
Indianapolis Olympians,INO,1951,NBA,https://www.basketball-reference.com/teams/INO/1951.html
Syracuse Nationals,SYR,1952,NBA,https://www.basketball-reference.com/teams/SYR/1952.html
Boston Celtics,BOS,1952,NBA,https://www.basketball-reference.com/teams/BOS/1952.html
New York Knicks,NYK,1952,NBA,https://www.basketball-reference.com/teams/NYK/1952.html
Philadelphia Warriors,PHW,1952,NBA,https://www.basketball-reference.com/teams/PHW/1952.html
Rochester Royals,ROC,1952,NBA,https://www.basketball-reference.com/teams/ROC/1952.html
Minneapolis Lakers,MNL,1952,NBA,https://www.basketball-reference.com/teams/MNL/1952.html
Indianapolis Olympians,INO,1952,NBA,https://www.basketball-reference.com/teams/INO/1952.html
Fort Wayne Pistons,FTW,1952,NBA,https://www.basketball-reference.com/teams/FTW/1952.html
New York Knicks,NYK,1953,NBA,https://www.basketball-reference.com/teams/NYK/1953.html
Syracuse Nationals,SYR,1953,NBA,https://www.basketball-reference.com/teams/SYR/1953.html
Boston Celtics,BOS,1953,NBA,https://www.basketball-reference.com/teams/BOS/1953.html
Baltimore Bullets,BLB,1953,NBA,https://www.basketball-reference.com/teams/BLB/1953.html
Minneapolis Lakers,MNL,1953,NBA,https://www.basketball-reference.com/teams/MNL/1953.html
Rochester Royals,ROC,1953,NBA,https://www.basketball-reference.com/teams/ROC/1953.html
Fort Wayne Pistons,FTW,1953,NBA,https://www.basketball-reference.com/teams/FTW/1953.html
Indianapolis Olympians,INO,1953,NBA,https://www.basketball-reference.com/teams/INO/1953.html
New York Knicks,NYK,1954,NBA,https://www.basketball-reference.com/teams/NYK/1954.html
Syracuse Nationals,SYR,1954,NBA,https://www.basketball-reference.com/teams/SYR/1954.html
Boston Celtics,BOS,1954,NBA,https://www.basketball-reference.com/teams/BOS/1954.html
Minneapolis Lakers,MNL,1954,NBA,https://www.basketball-reference.com/teams/MNL/1954.html
Rochester Royals,ROC,1954,NBA,https://www.basketball-reference.com/teams/ROC/1954.html
Fort Wayne Pistons,FTW,1954,NBA,https://www.basketball-reference.com/teams/FTW/1954.html
Syracuse Nationals,SYR,1955,NBA,https://www.basketball-reference.com/teams/SYR/1955.html
New York Knicks,NYK,1955,NBA,https://www.basketball-reference.com/teams/NYK/1955.html
Boston Celtics,BOS,1955,NBA,https://www.basketball-reference.com/teams/BOS/1955.html
Fort Wayne Pistons,FTW,1955,NBA,https://www.basketball-reference.com/teams/FTW/1955.html
Minneapolis Lakers,MNL,1955,NBA,https://www.basketball-reference.com/teams/MNL/1955.html
Rochester Royals,ROC,1955,NBA,https://www.basketball-reference.com/teams/ROC/1955.html
Philadelphia Warriors,PHW,1956,NBA,https://www.basketball-reference.com/teams/PHW/1956.html
Boston Celtics,BOS,1956,NBA,https://www.basketball-reference.com/teams/BOS/1956.html
Syracuse Nationals,SYR,1956,NBA,https://www.basketball-reference.com/teams/SYR/1956.html
New York Knicks,NYK,1956,NBA,https://www.basketball-reference.com/teams/NYK/1956.html
Fort Wayne Pistons,FTW,1956,NBA,https://www.basketball-reference.com/teams/FTW/1956.html
Minneapolis Lakers,MNL,1956,NBA,https://www.basketball-reference.com/teams/MNL/1956.html
St. Louis Hawks,STL,1956,NBA,https://www.basketball-reference.com/teams/STL/1956.html
Boston Celtics,BOS,1957,NBA,https://www.basketball-reference.com/teams/BOS/1957.html
Syracuse Nationals,SYR,1957,NBA,https://www.basketball-reference.com/teams/SYR/1957.html
Philadelphia Warriors,PHW,1957,NBA,https://www.basketball-reference.com/teams/PHW/1957.html
St. Louis Hawks,STL,1957,NBA,https://www.basketball-reference.com/teams/STL/1957.html
Minneapolis Lakers,MNL,1957,NBA,https://www.basketball-reference.com/teams/MNL/1957.html
Fort Wayne Pistons,FTW,1957,NBA,https://www.basketball-reference.com/teams/FTW/1957.html
Boston Celtics,BOS,1958,NBA,https://www.basketball-reference.com/teams/BOS/1958.html
Syracuse Nationals,SYR,1958,NBA,https://www.basketball-reference.com/teams/SYR/1958.html
Philadelphia Warriors,PHW,1958,NBA,https://www.basketball-reference.com/teams/PHW/1958.html
St. Louis Hawks,STL,1958,NBA,https://www.basketball-reference.com/teams/STL/1958.html
Detroit Pistons,DET,1958,NBA,https://www.basketball-reference.com/teams/DET/1958.html
Cincinnati Royals,CIN,1958,NBA,https://www.basketball-reference.com/teams/CIN/1958.html
Boston Celtics,BOS,1959,NBA,https://www.basketball-reference.com/teams/BOS/1959.html
New York Knicks,NYK,1959,NBA,https://www.basketball-reference.com/teams/NYK/1959.html
Syracuse Nationals,SYR,1959,NBA,https://www.basketball-reference.com/teams/SYR/1959.html
St. Louis Hawks,STL,1959,NBA,https://www.basketball-reference.com/teams/STL/1959.html
Minneapolis Lakers,MNL,1959,NBA,https://www.basketball-reference.com/teams/MNL/1959.html
Detroit Pistons,DET,1959,NBA,https://www.basketball-reference.com/teams/DET/1959.html
Boston Celtics,BOS,1960,NBA,https://www.basketball-reference.com/teams/BOS/1960.html
Philadelphia Warriors,PHW,1960,NBA,https://www.basketball-reference.com/teams/PHW/1960.html
Syracuse Nationals,SYR,1960,NBA,https://www.basketball-reference.com/teams/SYR/1960.html
St. Louis Hawks,STL,1960,NBA,https://www.basketball-reference.com/teams/STL/1960.html
Detroit Pistons,DET,1960,NBA,https://www.basketball-reference.com/teams/DET/1960.html
Minneapolis Lakers,MNL,1960,NBA,https://www.basketball-reference.com/teams/MNL/1960.html
Boston Celtics,BOS,1961,NBA,https://www.basketball-reference.com/teams/BOS/1961.html
Philadelphia Warriors,PHW,1961,NBA,https://www.basketball-reference.com/teams/PHW/1961.html
Syracuse Nationals,SYR,1961,NBA,https://www.basketball-reference.com/teams/SYR/1961.html
St. Louis Hawks,STL,1961,NBA,https://www.basketball-reference.com/teams/STL/1961.html
Los Angeles Lakers,LAL,1961,NBA,https://www.basketball-reference.com/teams/LAL/1961.html
Detroit Pistons,DET,1961,NBA,https://www.basketball-reference.com/teams/DET/1961.html
Boston Celtics,BOS,1962,NBA,https://www.basketball-reference.com/teams/BOS/1962.html
Philadelphia Warriors,PHW,1962,NBA,https://www.basketball-reference.com/teams/PHW/1962.html
