Team Name,Team Abbr.,Season,League,URL
Anderson Packers,AND,1950,NBA,https://www.basketball-reference.com/teams/AND/1950.html
Atlanta Hawks,ATL,1969,NBA,https://www.basketball-reference.com/teams/ATL/1969.html
Atlanta Hawks,ATL,1970,NBA,https://www.basketball-reference.com/teams/ATL/1970.html
Atlanta Hawks,ATL,1971,NBA,https://www.basketball-reference.com/teams/ATL/1971.html
Atlanta Hawks,ATL,1972,NBA,https://www.basketball-reference.com/teams/ATL/1972.html
Atlanta Hawks,ATL,1973,NBA,https://www.basketball-reference.com/teams/ATL/1973.html
Atlanta Hawks,ATL,1974,NBA,https://www.basketball-reference.com/teams/ATL/1974.html
Atlanta Hawks,ATL,1975,NBA,https://www.basketball-reference.com/teams/ATL/1975.html
Atlanta Hawks,ATL,1976,NBA,https://www.basketball-reference.com/teams/ATL/1976.html
Atlanta Hawks,ATL,1977,NBA,https://www.basketball-reference.com/teams/ATL/1977.html
Atlanta Hawks,ATL,1978,NBA,https://www.basketball-reference.com/teams/ATL/1978.html
Atlanta Hawks,ATL,1979,NBA,https://www.basketball-reference.com/teams/ATL/1979.html
Atlanta Hawks,ATL,1980,NBA,https://www.basketball-reference.com/teams/ATL/1980.html
Atlanta Hawks,ATL,1981,NBA,https://www.basketball-reference.com/teams/ATL/1981.html
Atlanta Hawks,ATL,1982,NBA,https://www.basketball-reference.com/teams/ATL/1982.html
Atlanta Hawks,ATL,1983,NBA,https://www.basketball-reference.com/teams/ATL/1983.html
Atlanta Hawks,ATL,1984,NBA,https://www.basketball-reference.com/teams/ATL/1984.html
Atlanta Hawks,ATL,1985,NBA,https://www.basketball-reference.com/teams/ATL/1985.html
Atlanta Hawks,ATL,1986,NBA,https://www.basketball-reference.com/teams/ATL/1986.html
Atlanta Hawks,ATL,1987,NBA,https://www.basketball-reference.com/teams/ATL/1987.html
Atlanta Hawks,ATL,1988,NBA,https://www.basketball-reference.com/teams/ATL/1988.html
Atlanta Hawks,ATL,1989,NBA,https://www.basketball-reference.com/teams/ATL/1989.html
Atlanta Hawks,ATL,1990,NBA,https://www.basketball-reference.com/teams/ATL/1990.html
Atlanta Hawks,ATL,1991,NBA,https://www.basketball-reference.com/teams/ATL/1991.html
Atlanta Hawks,ATL,1992,NBA,https://www.basketball-reference.com/teams/ATL/1992.html
Atlanta Hawks,ATL,1993,NBA,https://www.basketball-reference.com/teams/ATL/1993.html
Atlanta Hawks,ATL,1994,NBA,https://www.basketball-reference.com/teams/ATL/1994.html
Atlanta Hawks,ATL,1995,NBA,https://www.basketball-reference.com/teams/ATL/1995.html
Atlanta Hawks,ATL,1996,NBA,https://www.basketball-reference.com/teams/ATL/1996.html
Atlanta Hawks,ATL,1997,NBA,https://www.basketball-reference.com/teams/ATL/1997.html
Atlanta Hawks,ATL,1998,NBA,https://www.basketball-reference.com/teams/ATL/1998.html
Atlanta Hawks,ATL,1999,NBA,https://www.basketball-reference.com/teams/ATL/1999.html
Atlanta Hawks,ATL,2000,NBA,https://www.basketball-reference.com/teams/ATL/2000.html
Atlanta Hawks,ATL,2001,NBA,https://www.basketball-reference.com/teams/ATL/2001.html
Atlanta Hawks,ATL,2002,NBA,https://www.basketball-reference.com/teams/ATL/2002.html
Atlanta Hawks,ATL,2003,NBA,https://www.basketball-reference.com/teams/ATL/2003.html
Atlanta Hawks,ATL,2004,NBA,https://www.basketball-reference.com/teams/ATL/2004.html
Atlanta Hawks,ATL,2005,NBA,https://www.basketball-reference.com/teams/ATL/2005.html
Atlanta Hawks,ATL,2006,NBA,https://www.basketball-reference.com/teams/ATL/2006.html
Atlanta Hawks,ATL,2007,NBA,https://www.basketball-reference.com/teams/ATL/2007.html
Atlanta Hawks,ATL,2008,NBA,https://www.basketball-reference.com/teams/ATL/2008.html
Atlanta Hawks,ATL,2009,NBA,https://www.basketball-reference.com/teams/ATL/2009.html
Atlanta Hawks,ATL,2010,NBA,https://www.basketball-reference.com/teams/ATL/2010.html
Atlanta Hawks,ATL,2011,NBA,https://www.basketball-reference.com/teams/ATL/2011.html
Atlanta Hawks,ATL,2012,NBA,https://www.basketball-reference.com/teams/ATL/2012.html
Atlanta Hawks,ATL,2013,NBA,https://www.basketball-reference.com/teams/ATL/2013.html
