Year,League,URL
1938,NBL,https://www.basketball-reference.com/nbl/seasons/1938.html
1939,NBL,https://www.basketball-reference.com/nbl/seasons/1939.html
1940,NBL,https://www.basketball-reference.com/nbl/seasons/1940.html
1941,NBL,https://www.basketball-reference.com/nbl/seasons/1941.html
1942,NBL,https://www.basketball-reference.com/nbl/seasons/1942.html
1943,NBL,https://www.basketball-reference.com/nbl/seasons/1943.html
1944,NBL,https://www.basketball-reference.com/nbl/seasons/1944.html
1945,NBL,https://www.basketball-reference.com/nbl/seasons/1945.html
1946,NBL,https://www.basketball-reference.com/nbl/seasons/1946.html
1947,NBL,https://www.basketball-reference.com/nbl/seasons/1947.html
1948,NBL,https://www.basketball-reference.com/nbl/seasons/1948.html
1949,NBL,https://www.basketball-reference.com/nbl/seasons/1949.html
