Team Name,Team Abbr.,Season,League,URL
Akron Firestone Non-Skids,AFN,1938,NBL,https://www.basketball-reference.com/nbl/teams/AFN/1938.html
Akron Goodyear Wingfoots,AGW,1938,NBL,https://www.basketball-reference.com/nbl/teams/AGW/1938.html
Oshkosh All-Stars,OAS,1938,NBL,https://www.basketball-reference.com/nbl/teams/OAS/1938.html
Whiting Ciesar All-Americans,WCA,1938,NBL,https://www.basketball-reference.com/nbl/teams/WCA/1938.html
Akron Firestone Non-Skids,AFN,1939,NBL,https://www.basketball-reference.com/nbl/teams/AFN/1939.html
Oshkosh All-Stars,OAS,1939,NBL,https://www.basketball-reference.com/nbl/teams/OAS/1939.html
Akron Firestone Non-Skids,AFN,1940,NBL,https://www.basketball-reference.com/nbl/teams/AFN/1940.html
Detroit Eagles,DTE,1940,NBL,https://www.basketball-reference.com/nbl/teams/DTE/1940.html
Oshkosh All-Stars,OAS,1940,NBL,https://www.basketball-reference.com/nbl/teams/OAS/1940.html
Sheboygan Redskins,SHR,1940,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1940.html
Oshkosh All-Stars,OAS,1941,NBL,https://www.basketball-reference.com/nbl/teams/OAS/1941.html
Sheboygan Redskins,SHR,1941,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1941.html
Akron Firestone Non-Skids,AFN,1941,NBL,https://www.basketball-reference.com/nbl/teams/AFN/1941.html
Detroit Eagles,DTE,1941,NBL,https://www.basketball-reference.com/nbl/teams/DTE/1941.html
Oshkosh All-Stars,OAS,1942,NBL,https://www.basketball-reference.com/nbl/teams/OAS/1942.html
Fort Wayne Zollner Pistons,FWZ,1942,NBL,https://www.basketball-reference.com/nbl/teams/FWZ/1942.html
Akron Goodyear Wingfoots,AGW,1942,NBL,https://www.basketball-reference.com/nbl/teams/AGW/1942.html
Indianapolis Kautskys,INK,1942,NBL,https://www.basketball-reference.com/nbl/teams/INK/1942.html
Fort Wayne Zollner Pistons,FWZ,1943,NBL,https://www.basketball-reference.com/nbl/teams/FWZ/1943.html
Sheboygan Redskins,SHR,1943,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1943.html
Oshkosh All-Stars,OAS,1943,NBL,https://www.basketball-reference.com/nbl/teams/OAS/1943.html
Chicago Studebaker Flyers,CSF,1943,NBL,https://www.basketball-reference.com/nbl/teams/CSF/1943.html
Fort Wayne Zollner Pistons,FWZ,1944,NBL,https://www.basketball-reference.com/nbl/teams/FWZ/1944.html
Sheboygan Redskins,SHR,1944,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1944.html
Oshkosh All-Stars,OAS,1944,NBL,https://www.basketball-reference.com/nbl/teams/OAS/1944.html
Cleveland Chase Brassmen,CCB,1944,NBL,https://www.basketball-reference.com/nbl/teams/CCB/1944.html
Fort Wayne Zollner Pistons,FWZ,1945,NBL,https://www.basketball-reference.com/nbl/teams/FWZ/1945.html
Cleveland Allmen Transfers,CAT,1945,NBL,https://www.basketball-reference.com/nbl/teams/CAT/1945.html
Sheboygan Redskins,SHR,1945,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1945.html
Chicago American Gears,CAG,1945,NBL,https://www.basketball-reference.com/nbl/teams/CAG/1945.html
Fort Wayne Zollner Pistons,FWZ,1946,NBL,https://www.basketball-reference.com/nbl/teams/FWZ/1946.html
Rochester Royals,RCR,1946,NBL,https://www.basketball-reference.com/nbl/teams/RCR/1946.html
Sheboygan Redskins,SHR,1946,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1946.html
