Team Name,Team Abbr.,Season,League,URL
Tri-Cities Blackhawks,TCB,1947,NBL,https://www.basketball-reference.com/nbl/teams/TCB/1947.html
Tri-Cities Blackhawks,TCB,1948,NBL,https://www.basketball-reference.com/nbl/teams/TCB/1948.html
Tri-Cities Blackhawks,TCB,1949,NBL,https://www.basketball-reference.com/nbl/teams/TCB/1949.html
Fort Wayne Zollner Pistons,FWZ,1941,NBL,https://www.basketball-reference.com/nbl/teams/FWZ/1941.html
Fort Wayne Zollner Pistons,FWZ,1942,NBL,https://www.basketball-reference.com/nbl/teams/FWZ/1942.html
Fort Wayne Zollner Pistons,FWZ,1943,NBL,https://www.basketball-reference.com/nbl/teams/FWZ/1943.html
Fort Wayne Zollner Pistons,FWZ,1944,NBL,https://www.basketball-reference.com/nbl/teams/FWZ/1944.html
Fort Wayne Zollner Pistons,FWZ,1945,NBL,https://www.basketball-reference.com/nbl/teams/FWZ/1945.html
Fort Wayne Zollner Pistons,FWZ,1946,NBL,https://www.basketball-reference.com/nbl/teams/FWZ/1946.html
Fort Wayne Zollner Pistons,FWZ,1947,NBL,https://www.basketball-reference.com/nbl/teams/FWZ/1947.html
Fort Wayne Zollner Pistons,FWZ,1948,NBL,https://www.basketball-reference.com/nbl/teams/FWZ/1948.html
Minneapolis Lakers,MNN,1948,NBL,https://www.basketball-reference.com/nbl/teams/MNN/1948.html
Detroit Gems,DTG,1947,NBL,https://www.basketball-reference.com/nbl/teams/DTG/1947.html
Syracuse Nationals,SYN,1947,NBL,https://www.basketball-reference.com/nbl/teams/SYN/1947.html
Syracuse Nationals,SYN,1948,NBL,https://www.basketball-reference.com/nbl/teams/SYN/1948.html
Syracuse Nationals,SYN,1949,NBL,https://www.basketball-reference.com/nbl/teams/SYN/1949.html
Rochester Royals,RCR,1946,NBL,https://www.basketball-reference.com/nbl/teams/RCR/1946.html
Rochester Royals,RCR,1947,NBL,https://www.basketball-reference.com/nbl/teams/RCR/1947.html
Rochester Royals,RCR,1948,NBL,https://www.basketball-reference.com/nbl/teams/RCR/1948.html
Anderson Duffy Packers,ADP,1947,NBL,https://www.basketball-reference.com/nbl/teams/ADP/1947.html
Anderson Duffy Packers,ADP,1948,NBL,https://www.basketball-reference.com/nbl/teams/ADP/1948.html
Anderson Duffy Packers,ADP,1949,NBL,https://www.basketball-reference.com/nbl/teams/ADP/1949.html
Denver Nuggets,DNV,1949,NBL,https://www.basketball-reference.com/nbl/teams/DNV/1949.html
Indianapolis Kautskys,INK,1938,NBL,https://www.basketball-reference.com/nbl/teams/INK/1938.html
Indianapolis Kautskys,INK,1939,NBL,https://www.basketball-reference.com/nbl/teams/INK/1939.html
Indianapolis Kautskys,INK,1940,NBL,https://www.basketball-reference.com/nbl/teams/INK/1940.html
Indianapolis Kautskys,INK,1941,NBL,https://www.basketball-reference.com/nbl/teams/INK/1941.html
Indianapolis Kautskys,INK,1942,NBL,https://www.basketball-reference.com/nbl/teams/INK/1942.html
Indianapolis Kautskys,INK,1943,NBL,https://www.basketball-reference.com/nbl/teams/INK/1943.html
Indianapolis Kautskys,INK,1944,NBL,https://www.basketball-reference.com/nbl/teams/INK/1944.html
Indianapolis Kautskys,INK,1945,NBL,https://www.basketball-reference.com/nbl/teams/INK/1945.html
Indianapolis Kautskys,INK,1946,NBL,https://www.basketball-reference.com/nbl/teams/INK/1946.html
Indianapolis Kautskys,INK,1947,NBL,https://www.basketball-reference.com/nbl/teams/INK/1947.html
Indianapolis Kautskys,INK,1948,NBL,https://www.basketball-reference.com/nbl/teams/INK/1948.html
Sheboygan Redskins,SHR,1939,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1939.html
Sheboygan Redskins,SHR,1940,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1940.html
Sheboygan Redskins,SHR,1941,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1941.html
Sheboygan Redskins,SHR,1942,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1942.html
Sheboygan Redskins,SHR,1943,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1943.html
Sheboygan Redskins,SHR,1944,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1944.html
Sheboygan Redskins,SHR,1945,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1945.html
Sheboygan Redskins,SHR,1946,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1946.html
Sheboygan Redskins,SHR,1947,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1947.html
Sheboygan Redskins,SHR,1948,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1948.html
Sheboygan Redskins,SHR,1949,NBL,https://www.basketball-reference.com/nbl/teams/SHR/1949.html
Waterloo Hawks,WTH,1949,NBL,https://www.basketball-reference.com/nbl/teams/WTH/1949.html
Akron Firestone Non-Skids,AFN,1938,NBL,https://www.basketball-reference.com/nbl/teams/AFN/1938.html
Akron Firestone Non-Skids,AFN,1939,NBL,https://www.basketball-reference.com/nbl/teams/AFN/1939.html
Akron Firestone Non-Skids,AFN,1940,NBL,https://www.basketball-reference.com/nbl/teams/AFN/1940.html
