Year,League,URL
1997,WNBA,https://www.basketball-reference.com/wnba/years/1997.html
1998,WNBA,https://www.basketball-reference.com/wnba/years/1998.html
1999,WNBA,https://www.basketball-reference.com/wnba/years/1999.html
2000,WNBA,https://www.basketball-reference.com/wnba/years/2000.html
2001,WNBA,https://www.basketball-reference.com/wnba/years/2001.html
2002,WNBA,https://www.basketball-reference.com/wnba/years/2002.html
2003,WNBA,https://www.basketball-reference.com/wnba/years/2003.html
2004,WNBA,https://www.basketball-reference.com/wnba/years/2004.html
2005,WNBA,https://www.basketball-reference.com/wnba/years/2005.html
2006,WNBA,https://www.basketball-reference.com/wnba/years/2006.html
2007,WNBA,https://www.basketball-reference.com/wnba/years/2007.html
2008,WNBA,https://www.basketball-reference.com/wnba/years/2008.html
2009,WNBA,https://www.basketball-reference.com/wnba/years/2009.html
2010,WNBA,https://www.basketball-reference.com/wnba/years/2010.html
2011,WNBA,https://www.basketball-reference.com/wnba/years/2011.html
2012,WNBA,https://www.basketball-reference.com/wnba/years/2012.html
2013,WNBA,https://www.basketball-reference.com/wnba/years/2013.html
2014,WNBA,https://www.basketball-reference.com/wnba/years/2014.html
2015,WNBA,https://www.basketball-reference.com/wnba/years/2015.html
2016,WNBA,https://www.basketball-reference.com/wnba/years/2016.html
2017,WNBA,https://www.basketball-reference.com/wnba/years/2017.html
2018,WNBA,https://www.basketball-reference.com/wnba/years/2018.html
2019,WNBA,https://www.basketball-reference.com/wnba/years/2019.html
2020,WNBA,https://www.basketball-reference.com/wnba/years/2020.html
2021,WNBA,https://www.basketball-reference.com/wnba/years/2021.html
2022,WNBA,https://www.basketball-reference.com/wnba/years/2022.html
2023,WNBA,https://www.basketball-reference.com/wnba/years/2023.html
2024,WNBA,https://www.basketball-reference.com/wnba/years/2024.html
