Team Name,Team Abbr.,Season,League,URL
Atlanta Dream,ATL,2008,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2008.html
Atlanta Dream,ATL,2009,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2009.html
Atlanta Dream,ATL,2010,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2010.html
Atlanta Dream,ATL,2011,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2011.html
Atlanta Dream,ATL,2012,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2012.html
Atlanta Dream,ATL,2013,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2013.html
Atlanta Dream,ATL,2014,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2014.html
Atlanta Dream,ATL,2015,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2015.html
Atlanta Dream,ATL,2016,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2016.html
Atlanta Dream,ATL,2017,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2017.html
Atlanta Dream,ATL,2018,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2018.html
Atlanta Dream,ATL,2019,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2019.html
Atlanta Dream,ATL,2020,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2020.html
Atlanta Dream,ATL,2021,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2021.html
Atlanta Dream,ATL,2022,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2022.html
Atlanta Dream,ATL,2023,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2023.html
Atlanta Dream,ATL,2024,WNBA,https://www.basketball-reference.com/wnba/teams/ATL/2024.html
Chicago Sky,CHI,2006,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2006.html
Chicago Sky,CHI,2007,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2007.html
Chicago Sky,CHI,2008,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2008.html
Chicago Sky,CHI,2009,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2009.html
Chicago Sky,CHI,2010,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2010.html
Chicago Sky,CHI,2011,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2011.html
Chicago Sky,CHI,2012,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2012.html
Chicago Sky,CHI,2013,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2013.html
Chicago Sky,CHI,2014,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2014.html
Chicago Sky,CHI,2015,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2015.html
Chicago Sky,CHI,2016,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2016.html
Chicago Sky,CHI,2017,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2017.html
Chicago Sky,CHI,2018,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2018.html
Chicago Sky,CHI,2019,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2019.html
Chicago Sky,CHI,2020,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2020.html
Chicago Sky,CHI,2021,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2021.html
Chicago Sky,CHI,2022,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2022.html
Chicago Sky,CHI,2023,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2023.html
Chicago Sky,CHI,2024,WNBA,https://www.basketball-reference.com/wnba/teams/CHI/2024.html
Connecticut Sun,CON,2003,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2003.html
Connecticut Sun,CON,2004,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2004.html
Connecticut Sun,CON,2005,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2005.html
Connecticut Sun,CON,2006,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2006.html
Connecticut Sun,CON,2007,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2007.html
Connecticut Sun,CON,2008,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2008.html
Connecticut Sun,CON,2009,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2009.html
Connecticut Sun,CON,2010,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2010.html
Connecticut Sun,CON,2011,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2011.html
Connecticut Sun,CON,2012,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2012.html
Connecticut Sun,CON,2013,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2013.html
Connecticut Sun,CON,2014,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2014.html
Connecticut Sun,CON,2015,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2015.html
Connecticut Sun,CON,2016,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2016.html
Connecticut Sun,CON,2017,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2017.html
Connecticut Sun,CON,2018,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2018.html
Connecticut Sun,CON,2019,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2019.html
Connecticut Sun,CON,2020,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2020.html
Connecticut Sun,CON,2021,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2021.html
Connecticut Sun,CON,2022,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2022.html
Connecticut Sun,CON,2023,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2023.html
Connecticut Sun,CON,2024,WNBA,https://www.basketball-reference.com/wnba/teams/CON/2024.html
Orlando Miracle,ORL,1999,WNBA,https://www.basketball-reference.com/wnba/teams/ORL/1999.html
Orlando Miracle,ORL,2000,WNBA,https://www.basketball-reference.com/wnba/teams/ORL/2000.html
Orlando Miracle,ORL,2001,WNBA,https://www.basketball-reference.com/wnba/teams/ORL/2001.html
Orlando Miracle,ORL,2002,WNBA,https://www.basketball-reference.com/wnba/teams/ORL/2002.html
Indiana Fever,IND,2000,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2000.html
Indiana Fever,IND,2001,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2001.html
Indiana Fever,IND,2002,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2002.html
Indiana Fever,IND,2003,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2003.html
Indiana Fever,IND,2004,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2004.html
Indiana Fever,IND,2005,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2005.html
Indiana Fever,IND,2006,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2006.html
Indiana Fever,IND,2007,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2007.html
Indiana Fever,IND,2008,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2008.html
Indiana Fever,IND,2009,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2009.html
Indiana Fever,IND,2010,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2010.html
Indiana Fever,IND,2011,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2011.html
Indiana Fever,IND,2012,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2012.html
Indiana Fever,IND,2013,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2013.html
Indiana Fever,IND,2014,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2014.html
Indiana Fever,IND,2015,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2015.html
Indiana Fever,IND,2016,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2016.html
Indiana Fever,IND,2017,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2017.html
Indiana Fever,IND,2018,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2018.html
Indiana Fever,IND,2019,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2019.html
Indiana Fever,IND,2020,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2020.html
Indiana Fever,IND,2021,WNBA,https://www.basketball-reference.com/wnba/teams/IND/2021.html
