Team,Team Name,League,From,To
ATL,Atlanta Dream,WNBA,2008,NA
CHI,Chicago Sky,WNBA,2006,NA
CON,Connecticut Sun,WNBA,2003,NA
ORL,Orlando Miracle,WNBA,1999,2002
IND,Indiana Fever,WNBA,2000,NA
LAS,Los Angeles Sparks,WNBA,1997,NA
MIN,Minnesota Lynx,WNBA,1999,NA
NYL,New York Liberty,WNBA,1997,NA
PHO,Phoenix Mercury,WNBA,1997,NA
LVA,Las Vegas Aces,WNBA,2018,NA
SAS,San Antonio Silver Stars,WNBA,2003,2013
SAS,San Antonio Stars,WNBA,2014,2017
UTA,Utah Starzz,WNBA,1997,2002
SEA,Seattle Storm,WNBA,2000,NA
DAL,Dallas Wings,WNBA,2016,NA
TUL,Tulsa Shock,WNBA,2010,2015
DET,Detroit Shock,WNBA,1998,2009
WAS,Washington Mystics,WNBA,1998,NA
CHA,Charlotte Sting,WNBA,1997,2006
CLE,Cleveland Rockers,WNBA,1997,2003
HOU,Houston Comets,WNBA,1997,2008
MIA,Miami Sol,WNBA,2000,2002
POR,Portland Fire,WNBA,2000,2002
SAC,Sacramento Monarchs,WNBA,1997,2009
