Team Name,Team Abbr.,League,Season,Conference,Conference Rank,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Second Round Wins,Second Round Losses,Second Round Opp.,Won Second Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
Houston Comets,HOU,WNBA,1997,Eastern,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Charlotte Sting,Yes,1,0,New York Liberty,Yes
New York Liberty,NYL,WNBA,1997,Eastern,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,Phoenix Mercury,Yes,0,1,Houston Comets,No
Charlotte Sting,CHA,WNBA,1997,Eastern,3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Houston Comets,No,NA,NA,NA,NA
Cleveland Rockers,CLE,WNBA,1997,Eastern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Mercury,PHO,WNBA,1997,Western,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,New York Liberty,No,NA,NA,NA,NA
Los Angeles Sparks,LAS,WNBA,1997,Western,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Monarchs,SAC,WNBA,1997,Western,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Starzz,UTA,WNBA,1997,Western,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Rockers,CLE,WNBA,1998,Eastern,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,Phoenix Mercury,No,NA,NA,NA,NA
Charlotte Sting,CHA,WNBA,1998,Eastern,2,NA,NA,NA,NA,NA,NA,NA,NA,0,2,Houston Comets,No,NA,NA,NA,NA
New York Liberty,NYL,WNBA,1998,Eastern,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Shock,DET,WNBA,1998,Eastern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Mystics,WAS,WNBA,1998,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Comets,HOU,WNBA,1998,Western,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Charlotte Sting,Yes,2,1,Phoenix Mercury,Yes
Phoenix Mercury,PHO,WNBA,1998,Western,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,Cleveland Rockers,Yes,1,2,Houston Comets,No
Los Angeles Sparks,LAS,WNBA,1998,Western,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Monarchs,SAC,WNBA,1998,Western,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Starzz,UTA,WNBA,1998,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Liberty,NYL,WNBA,1999,Eastern,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,Charlotte Sting,Yes,1,2,Houston Comets,No
Charlotte Sting,CHA,WNBA,1999,Eastern,2,1,0,Detroit Shock,Yes,NA,NA,NA,NA,1,2,New York Liberty,No,NA,NA,NA,NA
Detroit Shock,DET,WNBA,1999,Eastern,3,0,1,Charlotte Sting,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orlando Miracle,ORL,WNBA,1999,Eastern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Mystics,WAS,WNBA,1999,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Rockers,CLE,WNBA,1999,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Comets,HOU,WNBA,1999,Western,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Los Angeles Sparks,Yes,2,1,New York Liberty,Yes
Los Angeles Sparks,LAS,WNBA,1999,Western,2,1,0,Sacramento Monarchs,Yes,NA,NA,NA,NA,0,2,Houston Comets,No,NA,NA,NA,NA
