Team Name,Team Abbr.,G,W,L,W/L%,GB,PW,PL,League,Season,Conference,Conference Rank,Made Playoffs
Houston Comets,HOU,28,18,10,0.643,0,22,6,WNBA,1997,Eastern,1,Yes
New York Liberty,NYL,28,17,11,0.607,1,17,11,WNBA,1997,Eastern,2,Yes
Charlotte Sting,CHA,28,15,13,0.536,3,16,12,WNBA,1997,Eastern,3,Yes
Cleveland Rockers,CLE,28,15,13,0.536,3,16,12,WNBA,1997,Eastern,4,No
Phoenix Mercury,PHO,28,16,12,0.571,0,20,8,WNBA,1997,Western,1,Yes
Los Angeles Sparks,LAS,28,14,14,0.5,2,17,11,WNBA,1997,Western,2,No
Sacramento Monarchs,SAC,28,10,18,0.357,6,5,23,WNBA,1997,Western,3,No
Utah Starzz,UTA,28,7,21,0.25,9,3,25,WNBA,1997,Western,4,No
Cleveland Rockers,CLE,30,20,10,0.667,0,19,11,WNBA,1998,Eastern,1,Yes
Charlotte Sting,CHA,30,18,12,0.6,2,19,11,WNBA,1998,Eastern,2,Yes
New York Liberty,NYL,30,18,12,0.6,2,20,10,WNBA,1998,Eastern,3,No
Detroit Shock,DET,30,17,13,0.567,3,15,15,WNBA,1998,Eastern,4,No
Washington Mystics,WAS,30,3,27,0.1,17,1,29,WNBA,1998,Eastern,5,No
Houston Comets,HOU,30,27,3,0.9,0,28,2,WNBA,1998,Western,1,Yes
Phoenix Mercury,PHO,30,19,11,0.633,8,23,7,WNBA,1998,Western,2,Yes
Los Angeles Sparks,LAS,30,12,18,0.4,15,14,16,WNBA,1998,Western,3,No
Sacramento Monarchs,SAC,30,8,22,0.267,19,7,23,WNBA,1998,Western,4,No
Utah Starzz,UTA,30,8,22,0.267,19,7,23,WNBA,1998,Western,5,No
New York Liberty,NYL,32,18,14,0.563,0,20,12,WNBA,1999,Eastern,1,Yes
Charlotte Sting,CHA,32,15,17,0.469,3,14,18,WNBA,1999,Eastern,2,Yes
Detroit Shock,DET,32,15,17,0.469,3,13,19,WNBA,1999,Eastern,3,Yes
Orlando Miracle,ORL,32,15,17,0.469,3,15,17,WNBA,1999,Eastern,4,No
Washington Mystics,WAS,32,12,20,0.375,6,9,23,WNBA,1999,Eastern,5,No
Cleveland Rockers,CLE,32,7,25,0.219,11,7,25,WNBA,1999,Eastern,6,No
Houston Comets,HOU,32,26,6,0.813,0,28,4,WNBA,1999,Western,1,Yes
Los Angeles Sparks,LAS,32,20,12,0.625,6,22,10,WNBA,1999,Western,2,Yes
Sacramento Monarchs,SAC,32,19,13,0.594,7,22,10,WNBA,1999,Western,3,Yes
Minnesota Lynx,MIN,32,15,17,0.469,11,12,20,WNBA,1999,Western,4,No
Phoenix Mercury,PHO,32,15,17,0.469,11,16,16,WNBA,1999,Western,5,No
Utah Starzz,UTA,32,15,17,0.469,11,11,21,WNBA,1999,Western,6,No
New York Liberty,NYL,32,20,12,0.625,0,22,10,WNBA,2000,Eastern,1,Yes
Cleveland Rockers,CLE,32,17,15,0.531,3,19,13,WNBA,2000,Eastern,2,Yes
Orlando Miracle,ORL,32,16,16,0.5,4,15,17,WNBA,2000,Eastern,3,Yes
Washington Mystics,WAS,32,14,18,0.438,6,14,18,WNBA,2000,Eastern,4,Yes
Detroit Shock,DET,32,14,18,0.438,6,12,20,WNBA,2000,Eastern,5,No
Miami Sol,MIA,32,13,19,0.406,7,7,25,WNBA,2000,Eastern,6,No
Indiana Fever,IND,32,9,23,0.281,11,12,20,WNBA,2000,Eastern,7,No
Charlotte Sting,CHA,32,8,24,0.25,12,6,26,WNBA,2000,Eastern,8,No
Los Angeles Sparks,LAS,32,28,4,0.875,0,26,6,WNBA,2000,Western,1,Yes
Houston Comets,HOU,32,27,5,0.844,1,30,2,WNBA,2000,Western,2,Yes
Sacramento Monarchs,SAC,32,21,11,0.656,7,24,8,WNBA,2000,Western,3,Yes
Phoenix Mercury,PHO,32,20,12,0.625,8,23,9,WNBA,2000,Western,4,Yes
Utah Starzz,UTA,32,18,14,0.563,10,16,16,WNBA,2000,Western,5,No
Minnesota Lynx,MIN,32,15,17,0.469,13,16,16,WNBA,2000,Western,6,No
